Urban_Rural,Car_Truck_Van_Yes,Car_Truck_Van_No,Car_Truck_Van_Total
AREA # 010101,Myitkyina,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3008,36660,39668
 Rural,158,10757,10915
 Total,3166,47417,50583
NotApp :,1258,*,*
AREA # 010102,Waingmaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,191,3629,3820
 Rural,213,15747,15960
 Total,404,19376,19780
NotApp :,241,*,*
AREA # 010103,Ingyanyan,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,-,78,78
 Rural,1,206,207
 Total,1,284,285
NotApp :,35,*,*
AREA # 010104,Tanaing,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,103,3591,3694
 Rural,19,2685,2704
 Total,122,6276,6398
NotApp :,303,*,*
AREA # 010105,Chiphwe,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,5,324,329
 Rural,41,1561,1602
 Total,46,1885,1931
NotApp :,11,*,*
AREA # 010106,Hsotlaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,-,66,66
 Rural,5,1002,1007
 Total,5,1068,1073
NotApp :,4,*,*
AREA # 010151,Hsinbo(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,8,696,704
 Rural,6,1298,1304
 Total,14,1994,2008
NotApp :,80,*,*
AREA # 010152,Hsadone(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,21,489,510
 Rural,17,1083,1100
 Total,38,1572,1610
NotApp :,9,*,*
AREA # 010153,Kanpaikti(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,36,138,174
 Rural,67,1229,1296
 Total,103,1367,1470
NotApp :,20,*,*
AREA # 010154,Shinbwayyan(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,21,1004,1025
 Rural,4,1101,1105
 Total,25,2105,2130
NotApp :,15,*,*
AREA # 010155,Panwa(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,47,149,196
 Rural,132,1047,1179
 Total,179,1196,1375
NotApp :,41,*,*
AREA # 010201,Mohnyin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,278,6075,6353
 Rural,415,23422,23837
 Total,693,29497,30190
NotApp :,542,*,*
AREA # 010202,Mogaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,286,4162,4448
 Rural,332,20118,20450
 Total,618,24280,24898
NotApp :,208,*,*
AREA # 010203,Phakant,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,491,6365,6856
 Rural,1907,24371,26278
 Total,2398,30736,33134
NotApp :,1665,*,*
AREA # 010251,Hopin(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,202,4339,4541
 Rural,89,4802,4891
 Total,291,9141,9432
NotApp :,114,*,*
AREA # 010252,Kamine(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,31,999,1030
 Rural,21,2447,2468
 Total,52,3446,3498
NotApp :,131,*,*
AREA # 010301,Bhamo,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,582,8933,9515
 Rural,470,14176,14646
 Total,1052,23109,24161
NotApp :,571,*,*
AREA # 010302,Shwegu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,139,3263,3402
 Rural,293,12133,12426
 Total,432,15396,15828
NotApp :,336,*,*
AREA # 010303,Momauk,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,36,2054,2090
 Rural,276,6268,6544
 Total,312,8322,8634
NotApp :,144,*,*
AREA # 010304,Mansi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,84,1534,1618
 Rural,560,8376,8936
 Total,644,9910,10554
NotApp :,82,*,*
AREA # 010351,Myohla(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,10,351,361
 Rural,15,417,432
 Total,25,768,793
NotApp :,11,*,*
AREA # 010352,Lwe`ge`(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,110,1115,1225
 Rural,6,272,278
 Total,116,1387,1503
NotApp :,24,*,*
AREA # 010353,Dotphoneyan(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6,305,311
 Rural,74,1848,1922
 Total,80,2153,2233
NotApp :,65,*,*
AREA # 010401,Putao,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,60,2751,2811
 Rural,10,7922,7932
 Total,70,10673,10743
NotApp :,94,*,*
AREA # 010402,Sumprabum,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3,169,172
 Rural,-,307,307
 Total,3,476,479
NotApp :,18,*,*
AREA # 010403,Machanbaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6,402,408
 Rural,1,1310,1311
 Total,7,1712,1719
NotApp :,31,*,*
AREA # 010404,Khaunglanphoo,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,-,70,70
 Rural,12,1629,1641
 Total,12,1699,1711
NotApp :,2,*,*
AREA # 010405,Naungmoon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1,359,360
 Rural,2,581,583
 Total,3,940,943
NotApp :,4,*,*
AREA # 010451,Pannandin(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,-,24,24
 Rural,-,245,245
 Total,-,269,269
NotApp :,1,*,*
AREA # 020101,Loikaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,937,9485,10422
 Rural,438,15635,16073
 Total,1375,25120,26495
NotApp :,304,*,*
AREA # 020102,Dimawso,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,48,1089,1137
 Rural,263,13947,14210
 Total,311,15036,15347
NotApp :,105,*,*
AREA # 020103,Phruso,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,14,839,853
 Rural,9,5048,5057
 Total,23,5887,5910
NotApp :,78,*,*
AREA # 020104,Shardaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,7,329,336
 Rural,7,1063,1070
 Total,14,1392,1406
NotApp :,28,*,*
AREA # 020201,Bawlakhe,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,27,812,839
 Rural,7,743,750
 Total,34,1555,1589
NotApp :,81,*,*
AREA # 020202,Parsaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,28,566,594
 Rural,87,4052,4139
 Total,115,4618,4733
NotApp :,302,*,*
AREA # 020203,Meisi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,7,188,195
 Rural,18,1089,1107
 Total,25,1277,1302
NotApp :,55,*,*
AREA # 020251,Ywathit(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,9,283,292
 Rural,-,200,200
 Total,9,483,492
NotApp :,30,*,*
AREA # 030101,Hpa-an,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1662,13106,14768
 Rural,2619,71810,74429
 Total,4281,84916,89197
NotApp :,1176,*,*
AREA # 030102,Hlaingbwe,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,166,2113,2279
 Rural,906,28401,29307
 Total,1072,30514,31586
NotApp :,379,*,*
AREA # 030103,Thandaunggyi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,82,2980,3062
 Rural,16,2731,2747
 Total,98,5711,5809
NotApp :,36,*,*
AREA # 030151,Paingkyon(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,47,760,807
 Rural,348,16623,16971
 Total,395,17383,17778
NotApp :,210,*,*
AREA # 030152,Shan Ywathit(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,4,79,83
 Rural,82,3591,3673
 Total,86,3670,3756
NotApp :,29,*,*
AREA # 030153,Leiktho(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,20,587,607
 Rural,73,9246,9319
 Total,93,9833,9926
NotApp :,73,*,*
AREA # 030154,Bawgali(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,11,425,436
 Rural,14,2955,2969
 Total,25,3380,3405
NotApp :,7,*,*
AREA # 030201,Pharpon,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,46,587,633
 Rural,21,1890,1911
 Total,67,2477,2544
NotApp :,108,*,*
AREA # 030251,Kamamaung(ST},*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,99,2650,2749
 Rural,21,1188,1209
 Total,120,3838,3958
NotApp :,52,*,*
AREA # 030301,Myawady,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,2320,21696,24016
 Rural,992,16250,17242
 Total,3312,37946,41258
NotApp :,937,*,*
AREA # 030351,Sugali(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3,72,75
 Rural,26,960,986
 Total,29,1032,1061
NotApp :,24,*,*
AREA # 030352,Wawlaymyaing(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,21,556,577
 Rural,17,1103,1120
 Total,38,1659,1697
NotApp :,44,*,*
AREA # 030401,Kawkareik,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,437,8045,8482
 Rural,801,36215,37016
 Total,1238,44260,45498
NotApp :,393,*,*
AREA # 030402,Kyarinseikkyi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,82,1735,1817
 Rural,471,19752,20223
 Total,553,21487,22040
NotApp :,270,*,*
AREA # 030451,Payarthonezu(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,678,5418,6096
 Rural,230,11469,11699
 Total,908,16887,17795
NotApp :,271,*,*
AREA # 030452,Kyaidon(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,52,628,680
 Rural,84,9969,10053
 Total,136,10597,10733
NotApp :,114,*,*
AREA # 040101,HaKa,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,145,5076,5221
 Rural,3,4693,4696
 Total,148,9769,9917
NotApp :,107,*,*
AREA # 040102,Thantlang,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,38,1469,1507
 Rural,44,8231,8275
 Total,82,9700,9782
NotApp :,38,*,*
AREA # 040201,Falam,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,35,1967,2002
 Rural,17,6409,6426
 Total,52,8376,8428
NotApp :,60,*,*
AREA # 040202,Tedim,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,54,2196,2250
 Rural,168,12265,12433
 Total,222,14461,14683
NotApp :,65,*,*
AREA # 040203,Tonzaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,20,620,640
 Rural,2,2769,2771
 Total,22,3389,3411
NotApp :,37,*,*
AREA # 040251,Rihkhuadal(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,21,649,670
 Rural,3,525,528
 Total,24,1174,1198
NotApp :,12,*,*
AREA # 040252,Cikha(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,5,210,215
 Rural,3,1312,1315
 Total,8,1522,1530
NotApp :,6,*,*
AREA # 040301,Mindat,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,70,2273,2343
 Rural,6,6173,6179
 Total,76,8446,8522
NotApp :,95,*,*
AREA # 040302,Matupi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,25,1645,1670
 Rural,9,5957,5966
 Total,34,7602,7636
NotApp :,43,*,*
AREA # 040303,Kanpalet,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,24,783,807
 Rural,9,3161,3170
 Total,33,3944,3977
NotApp :,66,*,*
AREA # 040304,Paletwat,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1,1349,1350
 Rural,10,11933,11943
 Total,11,13282,13293
NotApp :,86,*,*
AREA # 040351,Reazu(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,6,456,462
 Rural,11,2048,2059
 Total,17,2504,2521
NotApp :,14,*,*
AREA # 040352,Sami(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,-,633,633
 Rural,4,5586,5590
 Total,4,6219,6223
NotApp :,100,*,*
AREA # 050101,Sagaing,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1130,15366,16496
 Rural,801,47846,48647
 Total,1931,63212,65143
NotApp :,1842,*,*
AREA # 050102,Myinmu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,216,3415,3631
 Rural,155,21518,21673
 Total,371,24933,25304
NotApp :,264,*,*
AREA # 050103,Myaung,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,72,1881,1953
 Rural,106,22203,22309
 Total,178,24084,24262
NotApp :,350,*,*
AREA # 050201,Shwebo,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,856,12675,13531
 Rural,343,36373,36716
 Total,1199,49048,50247
NotApp :,467,*,*
AREA # 050202,Khin U,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,88,2203,2291
 Rural,194,30139,30333
 Total,282,32342,32624
NotApp :,271,*,*
AREA # 050203,Wetlet,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,90,2216,2306
 Rural,346,44060,44406
 Total,436,46276,46712
NotApp :,437,*,*
AREA # 050204,Kambalu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,99,5084,5183
 Rural,471,55672,56143
 Total,570,60756,61326
NotApp :,537,*,*
AREA # 050205,Kyunhlau,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,135,2364,2499
 Rural,139,18225,18364
 Total,274,20589,20863
NotApp :,224,*,*
AREA # 050206,Ye U,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,252,3713,3965
 Rural,109,22299,22408
 Total,361,26012,26373
NotApp :,308,*,*
AREA # 050207,Depayin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,30,925,955
 Rural,247,29143,29390
 Total,277,30068,30345
NotApp :,367,*,*
AREA # 050208,Tasei,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,252,2720,2972
 Rural,217,32748,32965
 Total,469,35468,35937
NotApp :,328,*,*
AREA # 050251,Kyaukmyaung(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,59,2247,2306
 Rural,43,4701,4744
 Total,102,6948,7050
NotApp :,65,*,*
AREA # 050301,Monywa,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,3566,36840,40406
 Rural,474,35082,35556
 Total,4040,71922,75962
NotApp :,1167,*,*
AREA # 050302,Butalin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,55,1138,1193
 Rural,184,27239,27423
 Total,239,28377,28616
NotApp :,389,*,*
AREA # 050303,Ayartaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,81,2074,2155
 Rural,255,33181,33436
 Total,336,35255,35591
NotApp :,378,*,*
AREA # 050304,Chaung Oo,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,186,4895,5081
 Rural,213,18082,18295
 Total,399,22977,23376
NotApp :,254,*,*
AREA # 050401,Katha,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,199,5064,5263
 Rural,324,26374,26698
 Total,523,31438,31961
NotApp :,447,*,*
AREA # 050402,Indaw,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,75,1767,1842
 Rural,167,21221,21388
 Total,242,22988,23230
NotApp :,320,*,*
AREA # 050403,Tigyaing,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,68,3002,3070
 Rural,493,22826,23319
 Total,561,25828,26389
NotApp :,279,*,*
AREA # 050404,Banmauk,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,72,1140,1212
 Rural,218,17438,17656
 Total,290,18578,18868
NotApp :,678,*,*
AREA # 050405,Kawlin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,187,4382,4569
 Rural,485,26349,26834
 Total,672,30731,31403
NotApp :,408,*,*
AREA # 050406,Wuntho,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,62,2528,2590
 Rural,91,11524,11615
 Total,153,14052,14205
NotApp :,321,*,*
AREA # 050407,Pinlebu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,57,1412,1469
 Rural,198,20233,20431
 Total,255,21645,21900
NotApp :,382,*,*
AREA # 050501,Kalay,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,1107,24614,25721
 Rural,457,46591,47048
 Total,1564,71205,72769
NotApp :,551,*,*
AREA # 050502,Kalewa,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,91,1862,1953
 Rural,60,9722,9782
 Total,151,11584,11735
NotApp :,183,*,*
AREA # 050503,Mingin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,10,826,836
 Rural,52,21170,21222
 Total,62,21996,22058
NotApp :,359,*,*
AREA # 050601,Tamu,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,341,8648,8989
 Rural,9,2988,2997
 Total,350,11636,11986
NotApp :,97,*,*
AREA # 050651,Myothit(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,7,301,308
 Rural,27,2762,2789
 Total,34,3063,3097
NotApp :,38,*,*
AREA # 050652,Khampat(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,22,2816,2838
 Rural,37,4633,4670
 Total,59,7449,7508
NotApp :,25,*,*
AREA # 050701,Mawlaik,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,26,1798,1824
 Rural,40,8481,8521
 Total,66,10279,10345
NotApp :,173,*,*
AREA # 050702,Phaungpyin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,28,1914,1942
 Rural,108,18196,18304
 Total,136,20110,20246
NotApp :,277,*,*
AREA # 050801,Hkamti,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,40,2143,2183
 Rural,48,5130,5178
 Total,88,7273,7361
NotApp :,521,*,*
AREA # 050802,Homalin,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,96,3479,3575
 Rural,438,31730,32168
 Total,534,35209,35743
NotApp :,1266,*,*
AREA # 050803,Leshi,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,10,243,253
 Rural,-,1403,1403
 Total,10,1646,1656
NotApp :,53,*,*
AREA # 050804,Lahe,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,5,533,538
 Rural,4,6435,6439
 Total,9,6968,6977
NotApp :,37,*,*
AREA # 050805,Nanyun,*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,5,370,375
 Rural,-,1193,1193
 Total,5,1563,1568
NotApp :,17,*,*
AREA # 050851,Mobaingluk(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,-,210,210
 Rural,-,100,100
 Total,-,310,310
NotApp :,2,*,*
AREA # 050852,Sonemara(ST),*,*
Urban/Rural,Car/Truck/Van,*,*
*,Yes,No,Total
 Urban,8,278,286
 Rural,7,901,908
 Total,15,1179,1194
NotApp :,10,*,*
