Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,61,1604,1665
 Rural,66,4836,4902
 Total,127,6440,6567
NotApp :,80,*,*
AREA # 130254,Minenaung(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,40,712,752
 Rural,115,4944,5059
 Total,155,5656,5811
NotApp :,69,*,*
AREA # 130255,Minesan(Monsan)(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,8,499,507
 Rural,45,6114,6159
 Total,53,6613,6666
NotApp :,259,*,*
AREA # 130301,Linkhe`,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,157,1561,1718
 Rural,467,6203,6670
 Total,624,7764,8388
NotApp :,100,*,*
AREA # 130302,Mone`,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,12,2091,2103
 Rural,20,4101,4121
 Total,32,6192,6224
NotApp :,66,*,*
AREA # 130303,Maukme`,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,6,1186,1192
 Rural,14,5988,6002
 Total,20,7174,7194
NotApp :,191,*,*
AREA # 130304,Minepan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,23,1936,1959
 Rural,94,3368,3462
 Total,117,5304,5421
NotApp :,165,*,*
AREA # 130351,Homane(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,35,639,674
 Rural,4,482,486
 Total,39,1121,1160
NotApp :,17,*,*
AREA # 130352,Kengtaung(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,24,2073,2097
 Rural,-,164,164
 Total,24,2237,2261
NotApp :,46,*,*
AREA # 130401,Lashio,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3614,30485,34099
 Rural,716,30117,30833
 Total,4330,60602,64932
NotApp :,881,*,*
AREA # 130402,Theinni,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,300,1623,1923
 Rural,228,9628,9856
 Total,528,11251,11779
NotApp :,116,*,*
AREA # 130403,Mineye`,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,20,1450,1470
 Rural,251,11607,11858
 Total,271,13057,13328
NotApp :,139,*,*
AREA # 130404,Tantyan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,365,6443,6808
 Rural,429,27905,28334
 Total,794,34348,35142
NotApp :,291,*,*
AREA # 130501,MuSe,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1930,11404,13334
 Rural,1170,7710,8880
 Total,3100,19114,22214
NotApp :,873,*,*
AREA # 130502,Namkham,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,941,5191,6132
 Rural,1025,14260,15285
 Total,1966,19451,21417
NotApp :,200,*,*
AREA # 130503,Kukai,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,557,4126,4683
 Rural,640,13708,14348
 Total,1197,17834,19031
NotApp :,175,*,*
AREA # 130551,Monekoe(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,20,1449,1469
 Rural,191,2698,2889
 Total,211,4147,4358
NotApp :,29,*,*
AREA # 130552,Manhero(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,10,336,346
 Rural,65,1232,1297
 Total,75,1568,1643
NotApp :,30,*,*
AREA # 130553,Pansai(KyuKute)(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,133,1635,1768
 Rural,537,2238,2775
 Total,670,3873,4543
NotApp :,51,*,*
AREA # 130554,Tamoenye(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,484,2003,2487
 Rural,615,9947,10562
 Total,1099,11950,13049
NotApp :,45,*,*
AREA # 130601,Kyukme,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,757,7896,8653
 Rural,366,19352,19718
 Total,1123,27248,28371
NotApp :,367,*,*
AREA # 130602,Naungkhio,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,338,3833,4171
 Rural,901,27152,28053
 Total,1239,30985,32224
NotApp :,365,*,*
AREA # 130603,Hsipaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,404,3605,4009
 Rural,821,33076,33897
 Total,1225,36681,37906
NotApp :,454,*,*
AREA # 130604,Namtu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,238,3019,3257
 Rural,172,8212,8384
 Total,410,11231,11641
NotApp :,153,*,*
AREA # 130605,Namsan(North),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,129,806,935
 Rural,187,12563,12750
 Total,316,13369,13685
NotApp :,265,*,*
AREA # 130606,Momeik,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,181,2052,2233
 Rural,301,11118,11419
 Total,482,13170,13652
NotApp :,177,*,*
AREA # 130607,Mabane,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,21,693,714
 Rural,607,7311,7918
 Total,628,8004,8632
NotApp :,266,*,*
AREA # 130608,Manton,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,9,770,779
 Rural,53,6851,6904
 Total,62,7621,7683
NotApp :,136,*,*
AREA # 130651,Minengaw(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,22,591,613
 Rural,38,3378,3416
 Total,60,3969,4029
NotApp :,98,*,*
AREA # 130652,Minelon(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,8,578,586
 Rural,55,5215,5270
 Total,63,5793,5856
NotApp :,201,*,*
AREA # 130701,Kunlon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,525,633,1158
 Rural,1361,7873,9234
 Total,1886,8506,10392
NotApp :,158,*,*
AREA # 130801,Laukine,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,329,2612,2941
 Rural,1583,9707,11290
 Total,1912,12319,14231
NotApp :,557,*,*
AREA # 130802,Kongyan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,91,103,194
 Rural,834,4434,5268
 Total,925,4537,5462
NotApp :,14,*,*
AREA # 130851,Chinshwehaw(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,63,556,619
 Rural,53,278,331
 Total,116,834,950
NotApp :,28,*,*
AREA # 130852,Mawhtike(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3,82,85
 Rural,79,4039,4118
 Total,82,4121,4203
NotApp :,14,*,*
AREA # 130901,Hopan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,261,3117,3378
 Rural,559,6094,6653
 Total,820,9211,10031
NotApp :,72,*,*
AREA # 130902,Minemaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,215,638,853
 Rural,678,8914,9592
 Total,893,9552,10445
NotApp :,71,*,*
AREA # 130903,Panwine,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,44,425,469
 Rural,361,13139,13500
 Total,405,13564,13969
NotApp :,8,*,*
AREA # 130952,Panlon(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,193,468,661
 Rural,46,478,524
 Total,239,946,1185
NotApp :,26,*,*
AREA # 131001,Makman,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1,66,67
 Rural,27,3224,3251
 Total,28,3290,3318
NotApp :,55,*,*
AREA # 131002,Pan San(Pan Kham),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,445,1577,2022
 Rural,565,13555,14120
 Total,1010,15132,16142
NotApp :,744,*,*
AREA # 131003,Naphang,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,25,130,155
 Rural,670,15649,16319
 Total,695,15779,16474
NotApp :,40,*,*
AREA # 131051,ManKan(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2,79,81
 Rural,-,234,234
 Total,2,313,315
NotApp :,19,*,*
AREA # 131101,Kengtung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1725,7377,9102
 Rural,430,24564,24994
 Total,2155,31941,34096
NotApp :,512,*,*
AREA # 131102,Minekat,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,13,545,558
 Rural,220,7247,7467
 Total,233,7792,8025
NotApp :,133,*,*
AREA # 131103,Mineyan,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,15,974,989
 Rural,1138,7992,9130
 Total,1153,8966,10119
NotApp :,153,*,*
AREA # 131104,Minelar,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,112,1448,1560
 Rural,341,3307,3648
 Total,453,4755,5208
NotApp :,231,*,*
AREA # 131151,Mine Pauk(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Rural,352,8933,9285
 Total,352,8933,9285
NotApp :,65,*,*
AREA # 131201,Minesat,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,231,1330,1561
 Rural,318,14030,14348
 Total,549,15360,15909
NotApp :,313,*,*
AREA # 131202,Minepyin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,209,1124,1333
 Rural,52,9220,9272
 Total,261,10344,10605
NotApp :,144,*,*
AREA # 131203,Minetung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,29,1090,1119
 Rural,78,3061,3139
 Total,107,4151,4258
NotApp :,57,*,*
AREA # 131251,Minekoke(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4,280,284
 Rural,41,2877,2918
 Total,45,3157,3202
NotApp :,77,*,*
AREA # 131252,Tontar(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,3,424,427
 Rural,13,2254,2267
 Total,16,2678,2694
NotApp :,33,*,*
AREA # 131253,Ponparkyin(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,38,683,721
 Rural,238,6375,6613
 Total,276,7058,7334
NotApp :,83,*,*
AREA # 131254,Monehta(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1,90,91
 Rural,5,833,838
 Total,6,923,929
NotApp :,3,*,*
AREA # 131301,Tachileik,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1412,9682,11094
 Rural,451,19634,20085
 Total,1863,29316,31179
NotApp :,515,*,*
AREA # 131351,Talay(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,49,824,873
 Rural,147,2998,3145
 Total,196,3822,4018
NotApp :,85,*,*
AREA # 131352,Kenglat(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,58,704,762
 Rural,93,1621,1714
 Total,151,2325,2476
NotApp :,39,*,*
AREA # 131401,Minephyat,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,191,1132,1323
 Rural,71,4771,4842
 Total,262,5903,6165
NotApp :,161,*,*
AREA # 131402,Mineyaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,130,1060,1190
 Rural,642,4497,5139
 Total,772,5557,6329
NotApp :,131,*,*
AREA # 131451,Mineyu(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,10,221,231
 Rural,789,9847,10636
 Total,799,10068,10867
NotApp :,165,*,*
AREA # 140101,Kangyidaunt,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,135,2539,2674
 Rural,1193,39099,40292
 Total,1328,41638,42966
NotApp :,345,*,*
AREA # 140102,Kyaungon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,286,3664,3950
 Rural,821,36631,37452
 Total,1107,40295,41402
NotApp :,278,*,*
AREA # 140103,Kyonpyaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,563,5436,5999
 Rural,2794,50695,53489
 Total,3357,56131,59488
NotApp :,394,*,*
AREA # 140104,Ngaputaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,158,2383,2541
 Rural,1981,32854,34835
 Total,2139,35237,37376
NotApp :,231,*,*
AREA # 140105,Pathein,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2985,34456,37441
 Rural,735,27860,28595
 Total,3720,62316,66036
NotApp :,851,*,*
AREA # 140106,Yekyi,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,320,2446,2766
 Rural,1104,23932,25036
 Total,1424,26378,27802
NotApp :,199,*,*
AREA # 140107,Thapaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,93,1647,1740
 Rural,714,34783,35497
 Total,807,36430,37237
NotApp :,376,*,*
AREA # 140151,Ngayokaung(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,5,828,833
 Rural,196,9172,9368
 Total,201,10000,10201
NotApp :,68,*,*
AREA # 140152,Hainggyikyun(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,30,3519,3549
 Rural,569,24957,25526
 Total,599,28476,29075
NotApp :,204,*,*
AREA # 140153,Shwethaungyan(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,4,815,819
 Rural,263,9099,9362
 Total,267,9914,10181
NotApp :,202,*,*
AREA # 140154,Ngwehsaung(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,100,2575,2675
 Rural,142,6653,6795
 Total,242,9228,9470
NotApp :,180,*,*
AREA # 140155,Ngathaingchaung(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,452,4145,4597
 Rural,1159,17157,18316
 Total,1611,21302,22913
NotApp :,199,*,*
AREA # 140201,Kyaiklatt,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,429,4988,5417
 Rural,2188,36143,38331
 Total,2617,41131,43748
NotApp :,526,*,*
AREA # 140202,Daydaye,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,315,3251,3566
 Rural,2294,42750,45044
 Total,2609,46001,48610
NotApp :,479,*,*
AREA # 140203,Phyapon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,945,9109,10054
 Rural,1556,30020,31576
 Total,2501,39129,41630
NotApp :,366,*,*
AREA # 140204,Bogale,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,645,9470,10115
 Rural,2750,63122,65872
 Total,3395,72592,75987
NotApp :,607,*,*
AREA # 140251,Ahmar(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,17,760,777
 Rural,696,26313,27009
 Total,713,27073,27786
NotApp :,383,*,*
AREA # 140301,Nyaungdon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,494,5406,5900
 Rural,1525,43776,45301
 Total,2019,49182,51201
NotApp :,457,*,*
AREA # 140302,Danubyu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,301,4879,5180
 Rural,1555,38062,39617
 Total,1856,42941,44797
NotApp :,310,*,*
AREA # 140303,Pantanaw,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,528,3764,4292
 Rural,3657,52328,55985
 Total,4185,56092,60277
NotApp :,434,*,*
AREA # 140304,Maubin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,839,8298,9137
 Rural,2922,59745,62667
 Total,3761,68043,71804
NotApp :,629,*,*
AREA # 140401,Myaungmya,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,842,11671,12513
 Rural,2107,51552,53659
 Total,2949,63223,66172
NotApp :,571,*,*
AREA # 140402,Wakema,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,366,4939,5305
 Rural,2281,59862,62143
 Total,2647,64801,67448
NotApp :,575,*,*
AREA # 140403,Einme,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,443,2603,3046
 Rural,1809,41600,43409
 Total,2252,44203,46455
NotApp :,362,*,*
AREA # 140501,Mawlamyinegyun,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,535,7048,7583
 Rural,4069,63234,67303
 Total,4604,70282,74886
NotApp :,436,*,*
AREA # 140502,Labutta,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,459,6744,7203
 Rural,2089,45854,47943
 Total,2548,52598,55146
NotApp :,425,*,*
AREA # 140551,Pyinsalu(ST),*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,22,479,501
 Rural,701,19235,19936
 Total,723,19714,20437
NotApp :,161,*,*
AREA # 140601,Kyangin,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,657,4649,5306
 Rural,718,20833,21551
 Total,1375,25482,26857
NotApp :,241,*,*
AREA # 140602,Zalun,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,440,4817,5257
 Rural,1472,35344,36816
 Total,1912,40161,42073
NotApp :,220,*,*
AREA # 140603,Myanaung,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,488,5561,6049
 Rural,1515,52356,53871
 Total,2003,57917,59920
NotApp :,437,*,*
AREA # 140604,Laymyethna,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,20,750,770
 Rural,704,24770,25474
 Total,724,25520,26244
NotApp :,310,*,*
AREA # 140605,Hinthada,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1183,18646,19829
 Rural,2362,63938,66300
 Total,3545,82584,86129
NotApp :,639,*,*
AREA # 140606,Ingapu,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,464,3114,3578
 Rural,1943,51708,53651
 Total,2407,54822,57229
NotApp :,515,*,*
AREA # 150101,Tatkon,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,661,8485,9146
 Rural,619,41982,42601
 Total,1280,50467,51747
NotApp :,415,*,*
AREA # 150102,Zeyarthiri,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,485,7761,8246
 Rural,293,17536,17829
 Total,778,25297,26075
NotApp :,326,*,*
AREA # 150103,Ottarathiri,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,281,4614,4895
 Rural,157,13609,13766
 Total,438,18223,18661
NotApp :,325,*,*
AREA # 150104,Pobbathiri,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,313,9935,10248
 Rural,280,17088,17368
 Total,593,27023,27616
NotApp :,382,*,*
AREA # 150201,Pyinmana,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,2262,12194,14456
 Rural,634,24573,25207
 Total,2896,36767,39663
NotApp :,695,*,*
AREA # 150202,Lewe,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,579,5544,6123
 Rural,1532,57519,59051
 Total,2111,63063,65174
NotApp :,584,*,*
AREA # 150203,Zabuthiri,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,1831,22891,24722
 Rural,8,1590,1598
 Total,1839,24481,26320
NotApp :,869,*,*
AREA # 150204,Dekkhinathiri,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,35,873,908
 Rural,99,5990,6089
 Total,134,6863,6997
NotApp :,205,*,*
SUMMARY,*,*,*
Urban/Rural,Land line phone,*,*
*,Yes,No,Total
 Urban,285667,2763766,3049433
 Rural,238846,7589553,7828399
 Total,524513,10353319,10877832
NotApp :,137752,*,*
