Urban_Rural,Radio_Yes,Radio_No,Radio_Total
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2597,11230,13827
 Rural,13265,27839,41104
 Total,15862,39069,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,710,2499,3209
 Rural,11389,22272,33661
 Total,12099,24771,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,709,1667,2376
 Rural,7884,16521,24405
 Total,8593,18188,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,8258,20557,28815
 Rural,14199,15543,29742
 Total,22457,36100,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1497,2109,3606
 Rural,15114,13627,28741
 Total,16611,15736,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1500,2968,4468
 Rural,17803,16621,34424
 Total,19303,19589,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1967,4514,6481
 Rural,14684,15535,30219
 Total,16651,20049,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1520,2746,4266
 Rural,15458,16226,31684
 Total,16978,18972,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1712,2806,4518
 Rural,14199,14847,29046
 Total,15911,17653,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2260,5904,8164
 Rural,11821,16641,28462
 Total,14081,22545,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1471,4264,5735
 Rural,16625,21124,37749
 Total,18096,25388,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,735,1967,2702
 Rural,11726,16466,28192
 Total,12461,18433,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,741,2059,2800
 Rural,11020,18074,29094
 Total,11761,20133,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1043,2924,3967
 Rural,5331,8912,14243
 Total,6374,11836,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1587,3055,4642
 Rural,19106,22021,41127
 Total,20693,25076,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,914,1466,2380
 Rural,14737,16170,30907
 Total,15651,17636,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1222,4362,5584
 Rural,10149,14853,25002
 Total,11371,19215,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3953,15917,19870
 Rural,21476,27331,48807
 Total,25429,43248,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2710,7966,10676
 Rural,10420,11404,21824
 Total,13130,19370,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2667,7734,10401
 Rural,16605,17612,34217
 Total,19272,25346,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3146,6909,10055
 Rural,28183,22025,50208
 Total,31329,28934,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,881,865,1746
 Rural,19889,15313,35202
 Total,20770,16178,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1476,1698,3174
 Rural,27230,18022,45252
 Total,28706,19720,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2110,7080,9190
 Rural,14540,20087,34627
 Total,16650,27167,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,491,963,1454
 Rural,16855,21455,38310
 Total,17346,22418,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,319,660,979
 Rural,5499,5979,11478
 Total,5818,6639,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1070,1716,2786
 Rural,29102,23717,52819
 Total,30172,25433,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,434,1091,1525
 Rural,4760,4495,9255
 Total,5194,5586,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,970,3593,4563
 Rural,10639,10770,21409
 Total,11609,14363,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,707,2274,2981
 Rural,13301,15340,28641
 Total,14008,17614,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,607,663,1270
 Rural,7842,7697,15539
 Total,8449,8360,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,795,499,1294
 Rural,10486,7363,17849
 Total,11281,7862,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1899,9726,11625
 Rural,18673,27311,45984
 Total,20572,37037,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,456,825,1281
 Rural,13785,13618,27403
 Total,14241,14443,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,5648,13421,19069
 Rural,21551,25720,47271
 Total,27199,39141,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1918,2981,4899
 Rural,25359,17074,42433
 Total,27277,20055,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,651,1150,1801
 Rural,30146,21694,51840
 Total,30797,22844,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,710,991,1701
 Rural,20416,16848,37264
 Total,21126,17839,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,857,1272,2129
 Rural,10657,10641,21298
 Total,11514,11913,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1186,2072,3258
 Rural,11642,15012,26654
 Total,12828,17084,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,515,608,1123
 Rural,5637,3772,9409
 Total,6152,4380,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,628,633,1261
 Rural,4347,2717,7064
 Total,4975,3350,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,656,484,1140
 Rural,4204,2265,6469
 Total,4860,2749,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,11630,38101,49731
 Total,11630,38101,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,8165,25116,33281
 Total,8165,25116,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,9164,32763,41927
 Total,9164,32763,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,12187,40860,53047
 Total,12187,40860,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,9954,33921,43875
 Total,9954,33921,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3821,12809,16630
 Rural,11575,21421,32996
 Total,15396,34230,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,911,1791,2702
 Rural,17420,32868,50288
 Total,18331,34659,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,9242,22699,31941
 Rural,8958,12483,21441
 Total,18200,35182,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1529,3782,5311
 Rural,22409,30925,53334
 Total,23938,34707,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,419,1313,1732
 Rural,12154,20647,32801
 Total,12573,21960,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3807,12879,16686
 Rural,5412,13149,18561
 Total,9219,26028,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,308,880,1188
 Rural,7580,16981,24561
 Total,7888,17861,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,485,1308,1793
 Rural,1631,3968,5599
 Total,2116,5276,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2072,6419,8491
 Rural,18714,30560,49274
 Total,20786,36979,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,566,1214,1780
 Rural,12084,19715,31799
 Total,12650,20929,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1350,2996,4346
 Rural,16497,25174,41671
 Total,17847,28170,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,846,1806,2652
 Rural,14600,15375,29975
 Total,15446,17181,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,4731,14166,18897
 Rural,22070,21373,43443
 Total,26801,35539,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1583,2280,3863
 Rural,25074,20915,45989
 Total,26657,23195,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,890,1952,2842
 Rural,19335,18788,38123
 Total,20225,20740,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3678,5335,9013
 Rural,28431,24517,52948
 Total,32109,29852,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,528,1129,1657
 Rural,13354,12827,26181
 Total,13882,13956,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2812,6703,9515
 Rural,18499,16648,35147
 Total,21311,23351,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,571,868,1439
 Rural,4862,3510,8372
 Total,5433,4378,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1933,3394,5327
 Rural,27835,24097,51932
 Total,29768,27491,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2034,4840,6874
 Rural,26602,25387,51989
 Total,28636,30227,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,7892,16071,23963
 Rural,22355,22121,44476
 Total,30247,38192,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1005,2106,3111
 Rural,16935,13281,30216
 Total,17940,15387,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1266,3454,4720
 Rural,19153,21019,40172
 Total,20419,24473,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2117,5183,7300
 Rural,22823,23446,46269
 Total,24940,28629,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,12578,37156,49734
 Rural,2734,4989,7723
 Total,15312,42145,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,475,1701,2176
 Rural,10055,26657,36712
 Total,10530,28358,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,930,814,1744
 Rural,12796,13404,26200
 Total,13726,14218,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3179,8536,11715
 Rural,8198,16321,24519
 Total,11377,24857,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3444,7348,10792
 Rural,11394,17126,28520
 Total,14838,24474,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1524,4589,6113
 Rural,5761,18117,23878
 Total,7285,22706,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1156,1811,2967
 Rural,5331,10341,15672
 Total,6487,12152,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,162,616,778
 Rural,659,3381,4040
 Total,821,3997,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2214,8492,10706
 Rural,13923,23655,37578
 Total,16137,32147,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1696,4206,5902
 Rural,14164,23660,37824
 Total,15860,27866,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1471,6045,7516
 Rural,10741,19831,30572
 Total,12212,25876,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,948,3096,4044
 Rural,12180,23007,35187
 Total,13128,26103,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,6502,12404,18906
 Rural,3054,7076,10130
 Total,9556,19480,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,863,1603,2466
 Rural,5718,17151,22869
 Total,6581,18754,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,915,1555,2470
 Rural,6426,21648,28074
 Total,7341,23203,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,560,950,1510
 Rural,6839,15992,22831
 Total,7399,16942,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2362,4912,7274
 Rural,8941,25310,34251
 Total,11303,30222,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1577,2262,3839
 Rural,9678,22978,32656
 Total,11255,25240,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1494,3121,4615
 Rural,7433,24580,32013
 Total,8927,27701,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,988,1630,2618
 Rural,8624,20097,28721
 Total,9612,21727,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,853,1461,2314
 Rural,1185,3891,5076
 Total,2038,5352,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,767,1295,2062
 Rural,2330,6872,9202
 Total,3097,8167,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,34,124,158
 Rural,24,324,348
 Total,58,448,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1255,2999,4254
 Rural,8232,24778,33010
 Total,9487,27777,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,462,844,1306
 Rural,4984,8445,13429
 Total,5446,9289,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1012,1236,2248
 Rural,5733,14437,20170
 Total,6745,15673,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,556,1322,1878
 Rural,6452,19029,25481
 Total,7008,20351,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1531,1819,3350
 Rural,13359,14366,27725
 Total,14890,16185,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2117,4061,6178
 Rural,7904,11157,19061
 Total,10021,15218,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,907,1581,2488
 Rural,3749,5008,8757
 Total,4656,6589,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,396,819,1215
 Rural,3300,5438,8738
 Total,3696,6257,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,775,700,1475
 Rural,2326,2280,4606
 Total,3101,2980,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,23395,38281,61676
 Total,23395,38281,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,6154,35487,41641
 Rural,3261,21401,24662
 Total,9415,56888,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1091,4851,5942
 Rural,11738,38789,50527
 Total,12829,43640,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1788,6961,8749
 Rural,12526,36748,49274
 Total,14314,43709,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,4027,16332,20359
 Rural,15539,31101,46640
 Total,19566,47433,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,326,1730,2056
 Rural,8712,23443,32155
 Total,9038,25173,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,13405,45106,58511
 Rural,2395,12869,15264
 Total,15800,57975,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,10053,93754,103807
 Rural,5376,39528,44904
 Total,15429,133282,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,8478,34842,43320
 Total,8478,34842,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,5542,9095,14637
 Total,5542,9095,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,6334,26391,32725
 Total,6334,26391,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,10320,54436,64756
 Total,10320,54436,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,5523,39933,45456
 Total,5523,39933,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2060,12349,14409
 Total,2060,12349,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,9266,26094,35360
 Total,9266,26094,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2719,7587,10306
 Total,2719,7587,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3444,4953,8397
 Total,3444,4953,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,13243,63741,76984
 Total,13243,63741,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,13417,29287,42704
 Total,13417,29287,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,10964,20931,31895
 Rural,727,1291,2018
 Total,11691,22222,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,7755,26417,34172
 Rural,856,2877,3733
 Total,8611,29294,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,4362,21556,25918
 Total,4362,21556,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,2680,16029,18709
 Rural,9727,33161,42888
 Total,12407,49190,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1716,8148,9864
 Rural,8623,14489,23112
 Total,10339,22637,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1252,5504,6756
 Rural,12698,20633,33331
 Total,13950,26137,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1426,6452,7878
 Rural,13930,17506,31436
 Total,15356,23958,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3770,5427,9197
 Rural,16599,25806,42405
 Total,20369,31233,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,622,1609,2231
 Rural,11133,16428,27561
 Total,11755,18037,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,912,3046,3958
 Rural,9319,15075,24394
 Total,10231,18121,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,3036,22295,25331
 Rural,3748,8833,12581
 Total,6784,31128,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,1488,6241,7729
 Total,1488,6241,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Urban/Rural,Radio,*,*
*,Yes,No,Total
 Urban,143,208,351
 Total,143,208,351
NotApp :,8,*,*
