Read_and_write,Sex_Male,Sex_Female,Sex_Total
 Total,9516,10295,19811
NotApp :,4848,*,*
AREA # 130253,Karli(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7676,6916,14592
 Illiterate,5315,7351,12666
 Total,12991,14267,27258
NotApp :,4322,*,*
AREA # 130254,Minenaung(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,5691,5832,11523
 Illiterate,5768,7880,13648
 Total,11459,13712,25171
NotApp :,4693,*,*
AREA # 130255,Minesan(Monsan)(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,8307,7135,15442
 Illiterate,3825,5322,9147
 Total,12132,12457,24589
NotApp :,5468,*,*
AREA # 130301,Linkhe`,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,9935,9606,19541
 Illiterate,4316,5945,10261
 Total,14251,15551,29802
NotApp :,3679,*,*
AREA # 130302,Mone`,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7610,7517,15127
 Illiterate,3979,5600,9579
 Total,11589,13117,24706
NotApp :,3934,*,*
AREA # 130303,Maukme`,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,8253,6989,15242
 Illiterate,4745,8052,12797
 Total,12998,15041,28039
NotApp :,5771,*,*
AREA # 130304,Minepan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,6692,5568,12260
 Illiterate,3835,5202,9037
 Total,10527,10770,21297
NotApp :,4629,*,*
AREA # 130351,Homane(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,1697,1406,3103
 Illiterate,1184,1495,2679
 Total,2881,2901,5782
NotApp :,1048,*,*
AREA # 130352,Kengtaung(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,2987,2511,5498
 Illiterate,1106,1724,2830
 Total,4093,4235,8328
NotApp :,2468,*,*
AREA # 130401,Lashio,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,99219,102528,201747
 Illiterate,31213,42505,73718
 Total,130432,145033,275465
NotApp :,47940,*,*
AREA # 130402,Theinni,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,16371,16360,32731
 Illiterate,7130,8625,15755
 Total,23501,24985,48486
NotApp :,8176,*,*
AREA # 130403,Mineye`,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,12980,13366,26346
 Illiterate,9990,14557,24547
 Total,22970,27923,50893
NotApp :,8483,*,*
AREA # 130404,Tantyan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,32182,29248,61430
 Illiterate,36754,49347,86101
 Total,68936,78595,147531
NotApp :,25274,*,*
AREA # 130501,MuSe,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,37706,37483,75189
 Illiterate,6900,9267,16167
 Total,44606,46750,91356
NotApp :,26151,*,*
AREA # 130502,Namkham,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,35088,35110,70198
 Illiterate,8708,14470,23178
 Total,43796,49580,93376
NotApp :,13658,*,*
AREA # 130503,Kukai,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,32960,31761,64721
 Illiterate,8889,12763,21652
 Total,41849,44524,86373
NotApp :,14961,*,*
AREA # 130551,Monekoe(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7192,6202,13394
 Illiterate,4008,4272,8280
 Total,11200,10474,21674
NotApp :,2891,*,*
AREA # 130552,Manhero(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,1926,1878,3804
 Illiterate,857,1373,2230
 Total,2783,3251,6034
NotApp :,753,*,*
AREA # 130553,Pansai(KyuKute)(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7491,7241,14732
 Illiterate,2285,2945,5230
 Total,9776,10186,19962
NotApp :,2988,*,*
AREA # 130554,Tamoenye(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,19520,16999,36519
 Illiterate,12879,14816,27695
 Total,32399,31815,64214
NotApp :,9104,*,*
AREA # 130601,Kyukme,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,42455,44914,87369
 Illiterate,8085,13513,21598
 Total,50540,58427,108967
NotApp :,18593,*,*
AREA # 130602,Naungkhio,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,56649,57857,114506
 Illiterate,4407,7344,11751
 Total,61056,65201,126257
NotApp :,23585,*,*
AREA # 130603,Hsipaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,50598,51462,102060
 Illiterate,19510,28131,47641
 Total,70108,79593,149701
NotApp :,26457,*,*
AREA # 130604,Namtu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,14692,15581,30273
 Illiterate,5522,7401,12923
 Total,20214,22982,43196
NotApp :,7227,*,*
AREA # 130605,Namsan(North),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,21605,23069,44674
 Illiterate,4603,9284,13887
 Total,26208,32353,58561
NotApp :,13643,*,*
AREA # 130606,Momeik,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,23273,24805,48078
 Illiterate,2016,2921,4937
 Total,25289,27726,53015
NotApp :,10315,*,*
AREA # 130607,Mabane,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,17966,18103,36069
 Illiterate,515,866,1381
 Total,18481,18969,37450
NotApp :,9948,*,*
AREA # 130608,Manton,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,10349,9473,19822
 Illiterate,4586,7735,12321
 Total,14935,17208,32143
NotApp :,6458,*,*
AREA # 130651,Minengaw(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,5187,5140,10327
 Illiterate,1826,3312,5138
 Total,7013,8452,15465
NotApp :,3436,*,*
AREA # 130652,Minelon(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7068,7634,14702
 Illiterate,2707,4104,6811
 Total,9775,11738,21513
NotApp :,4135,*,*
AREA # 130701,Kunlon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,12215,9558,21773
 Illiterate,12497,13866,26363
 Total,24712,23424,48136
NotApp :,10638,*,*
AREA # 130801,Laukine,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,21563,16182,37745
 Illiterate,14549,17865,32414
 Total,36112,34047,70159
NotApp :,19802,*,*
AREA # 130802,Kongyan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,5459,3480,8939
 Illiterate,9655,10702,20357
 Total,15114,14182,29296
NotApp :,4476,*,*
AREA # 130851,Chinshwehaw(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,1596,1111,2707
 Illiterate,521,706,1227
 Total,2117,1817,3934
NotApp :,955,*,*
AREA # 130852,Mawhtike(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,5204,3720,8924
 Illiterate,7066,7750,14816
 Total,12270,11470,23740
NotApp :,2550,*,*
AREA # 130901,Hopan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,10870,9209,20079
 Illiterate,12964,14144,27108
 Total,23834,23353,47187
NotApp :,7707,*,*
AREA # 130902,Minemaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,9808,7312,17120
 Illiterate,21235,22307,43542
 Total,31043,29619,60662
NotApp :,10021,*,*
AREA # 130903,Panwine,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,11369,9056,20425
 Illiterate,31875,33472,65347
 Total,43244,42528,85772
NotApp :,11325,*,*
AREA # 130952,Panlon(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,1220,1078,2298
 Illiterate,1338,1481,2819
 Total,2558,2559,5117
NotApp :,1089,*,*
AREA # 131001,Makman,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,2412,1691,4103
 Illiterate,5490,6417,11907
 Total,7902,8108,16010
NotApp :,3722,*,*
AREA # 131002,Pan San(Pan Kham),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,15382,11291,26673
 Illiterate,21795,26639,48434
 Total,37177,37930,75107
NotApp :,29222,*,*
AREA # 131003,Naphang,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,12769,9345,22114
 Illiterate,38450,40152,78602
 Total,51219,49497,100716
NotApp :,15464,*,*
AREA # 131051,ManKan(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,168,193,361
 Illiterate,327,453,780
 Total,495,646,1141
NotApp :,502,*,*
AREA # 131101,Kengtung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,41832,38804,80636
 Illiterate,29363,35544,64907
 Total,71195,74348,145543
NotApp :,26077,*,*
AREA # 131102,Minekat,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,2732,2038,4770
 Illiterate,15887,16976,32863
 Total,18619,19014,37633
NotApp :,6895,*,*
AREA # 131103,Mineyan,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7840,4762,12602
 Illiterate,14614,17949,32563
 Total,22454,22711,45165
NotApp :,7426,*,*
AREA # 131104,Minelar,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,6372,4164,10536
 Illiterate,5938,8487,14425
 Total,12310,12651,24961
NotApp :,18107,*,*
AREA # 131151,Mine Pauk(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,6511,5318,11829
 Illiterate,16914,17658,34572
 Total,23425,22976,46401
NotApp :,8653,*,*
AREA # 131201,Minesat,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,14704,11979,26683
 Illiterate,19868,21714,41582
 Total,34572,33693,68265
NotApp :,18288,*,*
AREA # 131202,Minepyin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,8296,6939,15235
 Illiterate,13633,16149,29782
 Total,21929,23088,45017
NotApp :,9132,*,*
AREA # 131203,Minetung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,4599,3796,8395
 Illiterate,4407,4641,9048
 Total,9006,8437,17443
NotApp :,4551,*,*
AREA # 131251,Minekoke(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,1331,1253,2584
 Illiterate,6149,5885,12034
 Total,7480,7138,14618
NotApp :,3478,*,*
AREA # 131252,Tontar(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,1555,1318,2873
 Illiterate,4421,4688,9109
 Total,5976,6006,11982
NotApp :,2702,*,*
AREA # 131253,Ponparkyin(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7530,5911,13441
 Illiterate,9287,9847,19134
 Total,16817,15758,32575
NotApp :,11244,*,*
AREA # 131254,Monehta(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,900,343,1243
 Illiterate,1272,1129,2401
 Total,2172,1472,3644
NotApp :,632,*,*
AREA # 131301,Tachileik,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,44054,41886,85940
 Illiterate,17676,22601,40277
 Total,61730,64487,126217
NotApp :,21804,*,*
AREA # 131351,Talay(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,4866,4214,9080
 Illiterate,2905,3610,6515
 Total,7771,7824,15595
NotApp :,2653,*,*
AREA # 131352,Kenglat(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,2646,1738,4384
 Illiterate,2222,2959,5181
 Total,4868,4697,9565
NotApp :,1479,*,*
AREA # 131401,Minephyat,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,6593,5385,11978
 Illiterate,5602,6848,12450
 Total,12195,12233,24428
NotApp :,6128,*,*
AREA # 131402,Mineyaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,7064,3859,10923
 Illiterate,4507,8067,12574
 Total,11571,11926,23497
NotApp :,4062,*,*
AREA # 131451,Mineyu(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,9875,5210,15085
 Illiterate,13059,16632,29691
 Total,22934,21842,44776
NotApp :,7555,*,*
AREA # 140101,Kangyidaunt,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,71438,74700,146138
 Illiterate,5241,7749,12990
 Total,76679,82449,159128
NotApp :,18862,*,*
AREA # 140102,Kyaungon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,64844,69531,134375
 Illiterate,4787,7176,11963
 Total,69631,76707,146338
NotApp :,16697,*,*
AREA # 140103,Kyonpyaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,93662,99868,193530
 Illiterate,7233,10935,18168
 Total,100895,110803,211698
NotApp :,24029,*,*
AREA # 140104,Ngaputaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,67424,67989,135413
 Illiterate,6662,7713,14375
 Total,74086,75702,149788
NotApp :,18988,*,*
AREA # 140105,Pathein,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,112015,125335,237350
 Illiterate,5287,8707,13994
 Total,117302,134042,251344
NotApp :,35727,*,*
AREA # 140106,Yekyi,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,42319,47070,89389
 Illiterate,1948,3616,5564
 Total,44267,50686,94953
NotApp :,10117,*,*
AREA # 140107,Thapaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,62597,64295,126892
 Illiterate,4042,6380,10422
 Total,66639,70675,137314
NotApp :,17086,*,*
AREA # 140151,Ngayokaung(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,17728,16723,34451
 Illiterate,1017,1691,2708
 Total,18745,18414,37159
NotApp :,4035,*,*
AREA # 140152,Hainggyikyun(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,48623,47856,96479
 Illiterate,2337,3499,5836
 Total,50960,51355,102315
NotApp :,12194,*,*
AREA # 140153,Shwethaungyan(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,17071,17404,34475
 Illiterate,1339,1665,3004
 Total,18410,19069,37479
NotApp :,12059,*,*
AREA # 140154,Ngwehsaung(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,15755,15595,31350
 Illiterate,1736,2088,3824
 Total,17491,17683,35174
NotApp :,9202,*,*
AREA # 140155,Ngathaingchaung(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,35781,38930,74711
 Illiterate,1879,3492,5371
 Total,37660,42422,80082
NotApp :,8948,*,*
AREA # 140201,Kyaiklatt,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,77611,81210,158821
 Illiterate,3673,5659,9332
 Total,81284,86869,168153
NotApp :,25187,*,*
AREA # 140202,Daydaye,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,82502,86249,168751
 Illiterate,4315,6326,10641
 Total,86817,92575,179392
NotApp :,23534,*,*
AREA # 140203,Phyapon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,74958,78863,153821
 Illiterate,4579,7261,11840
 Total,79537,86124,165661
NotApp :,21682,*,*
AREA # 140204,Bogale,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,126970,128247,255217
 Illiterate,10390,16284,26674
 Total,137360,144531,281891
NotApp :,40774,*,*
AREA # 140251,Ahmar(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,49074,48070,97144
 Illiterate,4815,7189,12004
 Total,53889,55259,109148
NotApp :,17631,*,*
AREA # 140301,Nyaungdon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,86101,90583,176684
 Illiterate,5137,8601,13738
 Total,91238,99184,190422
NotApp :,25484,*,*
AREA # 140302,Danubyu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,72405,80418,152823
 Illiterate,3305,5416,8721
 Total,75710,85834,161544
NotApp :,17809,*,*
AREA # 140303,Pantanaw,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,105157,111490,216647
 Illiterate,7723,12059,19782
 Total,112880,123549,236429
NotApp :,28167,*,*
AREA # 140304,Maubin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,125740,133633,259373
 Illiterate,7154,11129,18283
 Total,132894,144762,277656
NotApp :,36437,*,*
AREA # 140401,Myaungmya,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,116398,122051,238449
 Illiterate,10755,14709,25464
 Total,127153,136760,263913
NotApp :,34724,*,*
AREA # 140402,Wakema,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,113121,118243,231364
 Illiterate,10141,15801,25942
 Total,123262,134044,257306
NotApp :,31800,*,*
AREA # 140403,Einme,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,75822,79099,154921
 Illiterate,7965,11126,19091
 Total,83787,90225,174012
NotApp :,20089,*,*
AREA # 140501,Mawlamyinegyun,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,126257,127921,254178
 Illiterate,7855,14046,21901
 Total,134112,141967,276079
NotApp :,35261,*,*
AREA # 140502,Labutta,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,91053,88980,180033
 Illiterate,8178,13123,21301
 Total,99231,102103,201334
NotApp :,28595,*,*
AREA # 140551,Pyinsalu(ST),*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,33310,29676,62986
 Illiterate,3339,4592,7931
 Total,36649,34268,70917
NotApp :,14372,*,*
AREA # 140601,Kyangin,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,39719,44768,84487
 Illiterate,1173,2162,3335
 Total,40892,46930,87822
NotApp :,8261,*,*
AREA # 140602,Zalun,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,67248,75166,142414
 Illiterate,2944,5738,8682
 Total,70192,80904,151096
NotApp :,17107,*,*
AREA # 140603,Myanaung,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,87828,100136,187964
 Illiterate,3463,7128,10591
 Total,91291,107264,198555
NotApp :,20026,*,*
AREA # 140604,Laymyethna,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,41618,45046,86664
 Illiterate,2071,3548,5619
 Total,43689,48594,92283
NotApp :,10741,*,*
AREA # 140605,Hinthada,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,135235,152965,288200
 Illiterate,5311,10535,15846
 Total,140546,163500,304046
NotApp :,34389,*,*
AREA # 140606,Ingapu,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,87011,95943,182954
 Illiterate,3286,6426,9712
 Total,90297,102369,192666
NotApp :,21718,*,*
AREA # 150101,Tatkon,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,85380,91327,176707
 Illiterate,3643,11716,15359
 Total,89023,103043,192066
NotApp :,25027,*,*
AREA # 150102,Zeyarthiri,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,43430,45749,89179
 Illiterate,1428,3108,4536
 Total,44858,48857,93715
NotApp :,17578,*,*
AREA # 150103,Ottarathiri,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,31265,30051,61316
 Illiterate,1753,4549,6302
 Total,33018,34600,67618
NotApp :,14002,*,*
AREA # 150104,Pobbathiri,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,44604,46464,91068
 Illiterate,1843,4953,6796
 Total,46447,51417,97864
NotApp :,18627,*,*
AREA # 150201,Pyinmana,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,72370,79857,152227
 Illiterate,3028,6243,9271
 Total,75398,86100,161498
NotApp :,26067,*,*
AREA # 150202,Lewe,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,114064,119926,233990
 Illiterate,4499,11536,16035
 Total,118563,131462,250025
NotApp :,34368,*,*
AREA # 150203,Zabuthiri,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,37939,43077,81016
 Illiterate,831,1577,2408
 Total,38770,44654,83424
NotApp :,27035,*,*
AREA # 150204,Dekkhinathiri,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,11460,11599,23059
 Illiterate,472,1223,1695
 Total,11932,12822,24754
NotApp :,26574,*,*
SUMMARY,*,*,*
Read and write,Sex,*,*
*,Male,Female,Total
 Literate,18512796,20150546,38663342
 Illiterate,1809611,3044194,4853805
 Total,20322407,23194740,43517147
NotApp :,6762753,*,*
