Urban_Rural,Sex_Male,Sex_Female,Sex_Total
*,Male,Female,Total
 Urban,4302,4532,8834
 Rural,12776,13073,25849
 Total,17078,17605,34683
AREA # 120401,Kyauktada,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,13777,16076,29853
 Total,13777,16076,29853
AREA # 120402,Pabedan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,15171,18165,33336
 Total,15171,18165,33336
AREA # 120403,Lanmadaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,20180,26980,47160
 Total,20180,26980,47160
AREA # 120404,Latha,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10728,14329,25057
 Total,10728,14329,25057
AREA # 120405,Ahlon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,25551,29931,55482
 Total,25551,29931,55482
AREA # 120406,Kyimyindine,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,52627,58887,111514
 Total,52627,58887,111514
AREA # 120407,Sangyoung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,43993,55626,99619
 Total,43993,55626,99619
AREA # 120408,Hline,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,75029,85278,160307
 Total,75029,85278,160307
AREA # 120409,Kamayut,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,36958,47611,84569
 Total,36958,47611,84569
AREA # 120410,Mayangon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,93392,104721,198113
 Total,93392,104721,198113
AREA # 120411,Dagon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11846,13236,25082
 Total,11846,13236,25082
AREA # 120412,Bahan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,45518,51214,96732
 Total,45518,51214,96732
AREA # 120413,Seikkan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1697,1129,2826
 Total,1697,1129,2826
AREA # 130101,Taunggyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,126928,137876,264804
 Rural,59026,57809,116835
 Total,185954,195685,381639
AREA # 130102,Nyaungshwe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8174,8034,16208
 Rural,86363,86836,173199
 Total,94537,94870,189407
AREA # 130103,Hopon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,12106,10734,22840
 Rural,43429,46079,89508
 Total,55535,56813,112348
AREA # 130104,Hsihseng,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6029,6044,12073
 Rural,68707,72252,140959
 Total,74736,78296,153032
AREA # 130105,Kalaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,28672,29125,57797
 Rural,64420,63866,128286
 Total,93092,92991,186083
AREA # 130106,Pindaya,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5161,5601,10762
 Rural,33307,35234,68541
 Total,38468,40835,79303
AREA # 130107,Ywarngan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2220,2297,4517
 Rural,38829,39186,78015
 Total,41049,41483,82532
AREA # 130108,Yatsauk,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,16175,13358,29533
 Rural,48786,48248,97034
 Total,64961,61606,126567
AREA # 130109,Pinlaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6531,6098,12629
 Rural,50880,51538,102418
 Total,57411,57636,115047
AREA # 130110,Phekon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8357,8189,16546
 Rural,43936,43108,87044
 Total,52293,51297,103590
AREA # 130151,Kyauktalongyi(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1454,1712,3166
 Rural,25792,27459,53251
 Total,27246,29171,56417
AREA # 130152,Indaw(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4171,4081,8252
 Rural,15194,14717,29911
 Total,19365,18798,38163
AREA # 130153,Naungtayar(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2425,2436,4861
 Rural,35522,36827,72349
 Total,37947,39263,77210
AREA # 130201,Loilem,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6417,7043,13460
 Rural,18814,20097,38911
 Total,25231,27140,52371
AREA # 130202,Le`char,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3845,4156,8001
 Rural,19801,21029,40830
 Total,23646,25185,48831
AREA # 130203,Nanhsam(South),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11946,11846,23792
 Rural,34596,33914,68510
 Total,46542,45760,92302
AREA # 130204,Kunhing,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3767,3814,7581
 Rural,7105,7137,14242
 Total,10872,10951,21823
AREA # 130205,Kehsi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2105,2177,4282
 Rural,18800,21418,40218
 Total,20905,23595,44500
AREA # 130206,Mongkai,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5156,5464,10620
 Rural,29966,33708,63674
 Total,35122,39172,74294
AREA # 130207,Mineshu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4839,4970,9809
 Rural,15524,17362,32886
 Total,20363,22332,42695
AREA # 130251,Panglong(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,13615,13500,27115
 Rural,21713,23358,45071
 Total,35328,36858,72186
AREA # 130252,Kholan(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4719,4751,9470
 Rural,8030,7159,15189
 Total,12749,11910,24659
AREA # 130253,Karli(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3870,3909,7779
 Rural,11881,11920,23801
 Total,15751,15829,31580
AREA # 130254,Minenaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1927,2121,4048
 Rural,12592,13224,25816
 Total,14519,15345,29864
AREA # 130255,Minesan(Monsan)(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1331,1144,2475
 Rural,14548,13034,27582
 Total,15879,14178,30057
AREA # 130301,Linkhe`,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3189,3295,6484
 Rural,13494,13503,26997
 Total,16683,16798,33481
AREA # 130302,Mone`,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4735,5032,9767
 Rural,9319,9554,18873
 Total,14054,14586,28640
AREA # 130303,Maukme`,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2686,2536,5222
 Rural,13860,14728,28588
 Total,16546,17264,33810
AREA # 130304,Minepan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4712,4260,8972
 Rural,9117,7837,16954
 Total,13829,12097,25926
AREA # 130351,Homane(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1770,1676,3446
 Rural,1753,1631,3384
 Total,3523,3307,6830
AREA # 130352,Kengtaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5535,4456,9991
 Rural,402,403,805
 Total,5937,4859,10796
AREA # 130401,Lashio,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,84331,90004,174335
 Rural,74181,74889,149070
 Total,158512,164893,323405
AREA # 130402,Theinni,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4449,4703,9152
 Rural,24155,23355,47510
 Total,28604,28058,56662
AREA # 130403,Mineye`,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3594,3452,7046
 Rural,24797,27533,52330
 Total,28391,30985,59376
AREA # 130404,Tantyan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,16305,17298,33603
 Rural,67718,71484,139202
 Total,84023,88782,172805
AREA # 130501,MuSe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,38448,35865,74313
 Rural,22498,20696,43194
 Total,60946,56561,117507
AREA # 130502,Namkham,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,14171,16098,30269
 Rural,37144,39621,76765
 Total,51315,55719,107034
AREA # 130503,Kukai,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,12226,12737,24963
 Rural,38021,38350,76371
 Total,50247,51087,101334
AREA # 130551,Monekoe(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4527,4320,8847
 Rural,8218,7500,15718
 Total,12745,11820,24565
AREA # 130552,Manhero(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,684,754,1438
 Rural,2558,2791,5349
 Total,3242,3545,6787
AREA # 130553,Pansai(KyuKute)(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4710,4820,9530
 Rural,6759,6661,13420
 Total,11469,11481,22950
AREA # 130554,Tamoenye(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7452,7223,14675
 Rural,29743,28900,58643
 Total,37195,36123,73318
AREA # 130601,Kyukme,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,19111,20819,39930
 Rural,42533,45097,87630
 Total,61644,65916,127560
AREA # 130602,Naungkhio,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9093,9729,18822
 Rural,66668,64352,131020
 Total,75761,74081,149842
AREA # 130603,Hsipaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10202,10695,20897
 Rural,75634,79627,155261
 Total,85836,90322,176158
AREA # 130604,Namtu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6171,7127,13298
 Rural,18277,18848,37125
 Total,24448,25975,50423
AREA # 130605,Namsan(North),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1982,2156,4138
 Rural,30726,37340,68066
 Total,32708,39496,72204
AREA # 130606,Momeik,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4778,5482,10260
 Rural,26767,26303,53070
 Total,31545,31785,63330
AREA # 130607,Mabane,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1619,1622,3241
 Rural,22875,21282,44157
 Total,24494,22904,47398
AREA # 130608,Manton,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2090,2012,4102
 Rural,16472,18027,34499
 Total,18562,20039,38601
AREA # 130651,Minengaw(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1220,1213,2433
 Rural,7613,8855,16468
 Total,8833,10068,18901
AREA # 130652,Minelon(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1170,1178,2348
 Rural,11102,12198,23300
 Total,12272,13376,25648
AREA # 130701,Kunlon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2756,2793,5549
 Rural,28144,25081,53225
 Total,30900,27874,58774
AREA # 130801,Laukine,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,12125,11310,23435
 Rural,35270,31256,66526
 Total,47395,42566,89961
AREA # 130802,Kongyan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,664,522,1186
 Rural,16808,15778,32586
 Total,17472,16300,33772
AREA # 130851,Chinshwehaw(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1731,1407,3138
 Rural,907,844,1751
 Total,2638,2251,4889
AREA # 130852,Mawhtike(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,220,204,424
 Rural,13379,12487,25866
 Total,13599,12691,26290
AREA # 130901,Hopan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8640,8253,16893
 Rural,19629,18372,38001
 Total,28269,26625,54894
AREA # 130902,Minemaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2895,2760,5655
 Rural,33418,31610,65028
 Total,36313,34370,70683
AREA # 130903,Panwine,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1757,1679,3436
 Rural,47034,46627,93661
 Total,48791,48306,97097
AREA # 130952,Panlon(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1805,1764,3569
 Rural,1395,1242,2637
 Total,3200,3006,6206
AREA # 131001,Makman,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,170,122,292
 Rural,9898,9542,19440
 Total,10068,9664,19732
AREA # 131002,Pan San(Pan Kham),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8061,7875,15936
 Rural,46140,42253,88393
 Total,54201,50128,104329
AREA # 131003,Naphang,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,497,473,970
 Rural,58872,56338,115210
 Total,59369,56811,116180
AREA # 131051,ManKan(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,232,187,419
 Rural,608,616,1224
 Total,840,803,1643
AREA # 131101,Kengtung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,22212,22077,44289
 Rural,65567,61764,127331
 Total,87779,83841,171620
AREA # 131102,Minekat,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1642,1185,2827
 Rural,21231,20470,41701
 Total,22873,21655,44528
AREA # 131103,Mineyan,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2761,2205,4966
 Rural,24219,23406,47625
 Total,26980,25611,52591
AREA # 131104,Minelar,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11028,9425,20453
 Rural,11238,11377,22615
 Total,22266,20802,43068
AREA # 131151,Mine Pauk(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Rural,28095,26959,55054
 Total,28095,26959,55054
AREA # 131201,Minesat,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4449,3555,8004
 Rural,41282,37267,78549
 Total,45731,40822,86553
AREA # 131202,Minepyin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3596,3245,6841
 Rural,23834,23474,47308
 Total,27430,26719,54149
AREA # 131203,Minetung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3240,2579,5819
 Rural,8778,7397,16175
 Total,12018,9976,21994
AREA # 131251,Minekoke(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,790,651,1441
 Rural,8753,7902,16655
 Total,9543,8553,18096
AREA # 131252,Tontar(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1073,992,2065
 Rural,6489,6130,12619
 Total,7562,7122,14684
AREA # 131253,Ponparkyin(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1708,1493,3201
 Rural,22098,18520,40618
 Total,23806,20013,43819
AREA # 131254,Monehta(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,279,125,404
 Rural,2221,1651,3872
 Total,2500,1776,4276
AREA # 131301,Tachileik,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,25146,26407,51553
 Rural,49681,46787,96468
 Total,74827,73194,148021
AREA # 131351,Talay(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2066,1903,3969
 Rural,7437,6842,14279
 Total,9503,8745,18248
AREA # 131352,Kenglat(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1762,1483,3245
 Rural,4032,3767,7799
 Total,5794,5250,11044
AREA # 131401,Minephyat,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3251,2823,6074
 Rural,12958,11524,24482
 Total,16209,14347,30556
AREA # 131402,Mineyaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,2483,2397,4880
 Rural,11927,10752,22679
 Total,14410,13149,27559
AREA # 131451,Mineyu(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,514,458,972
 Rural,26950,24409,51359
 Total,27464,24867,52331
AREA # 140101,Kangyidaunt,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5421,5671,11092
 Rural,81476,85422,166898
 Total,86897,91093,177990
AREA # 140102,Kyaungon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7496,8556,16052
 Rural,71259,75724,146983
 Total,78755,84280,163035
AREA # 140103,Kyonpyaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11315,12651,23966
 Rural,102423,109338,211761
 Total,113738,121989,235727
AREA # 140104,Ngaputaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,5072,5610,10682
 Rural,79110,78984,158094
 Total,84182,84594,168776
AREA # 140105,Pathein,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,79524,90249,169773
 Rural,58139,59159,117298
 Total,137663,149408,287071
AREA # 140106,Yekyi,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,4834,5793,10627
 Rural,44973,49470,94443
 Total,49807,55263,105070
AREA # 140107,Thapaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,3423,3877,7300
 Rural,72240,74860,147100
 Total,75663,78737,154400
AREA # 140151,Ngayokaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1568,1688,3256
 Rural,19347,18591,37938
 Total,20915,20279,41194
AREA # 140152,Hainggyikyun(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7765,7029,14794
 Rural,50150,49565,99715
 Total,57915,56594,114509
AREA # 140153,Shwethaungyan(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1599,1581,3180
 Rural,22891,23467,46358
 Total,24490,25048,49538
AREA # 140154,Ngwehsaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7596,6893,14489
 Rural,15055,14832,29887
 Total,22651,21725,44376
AREA # 140155,Ngathaingchaung(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,8696,10047,18743
 Rural,33884,36403,70287
 Total,42580,46450,89030
AREA # 140201,Kyaiklatt,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11719,12760,24479
 Rural,83118,85743,168861
 Total,94837,98503,193340
AREA # 140202,Daydaye,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7231,8089,15320
 Rural,92383,95223,187606
 Total,99614,103312,202926
AREA # 140203,Phyapon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,23992,25136,49128
 Rural,67920,70295,138215
 Total,91912,95431,187343
AREA # 140204,Bogale,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,20530,22694,43224
 Rural,138766,140675,279441
 Total,159296,163369,322665
AREA # 140251,Ahmar(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1673,1685,3358
 Rural,62021,61400,123421
 Total,63694,63085,126779
AREA # 140301,Nyaungdon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,11566,12889,24455
 Rural,94147,97304,191451
 Total,105713,110193,215906
AREA # 140302,Danubyu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9977,11785,21762
 Rural,75798,81793,157591
 Total,85775,93578,179353
AREA # 140303,Pantanaw,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9385,10435,19820
 Rural,118737,126039,244776
 Total,128122,136474,264596
AREA # 140304,Maubin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,20277,22834,43111
 Rural,132663,138319,270982
 Total,152940,161153,314093
AREA # 140401,Myaungmya,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,27626,31072,58698
 Rural,118346,121593,239939
 Total,145972,152665,298637
AREA # 140402,Wakema,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10455,11726,22181
 Rural,130243,136682,266925
 Total,140698,148408,289106
AREA # 140403,Einme,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6395,7159,13554
 Rural,88234,92313,180547
 Total,94629,99472,194101
AREA # 140501,Mawlamyinegyun,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,15800,17115,32915
 Rural,137327,141098,278425
 Total,153127,158213,311340
AREA # 140502,Labutta,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,14987,16187,31174
 Rural,99759,98996,198755
 Total,114746,115183,229929
AREA # 140551,Pyinsalu(ST),*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1186,1043,2229
 Rural,42980,40080,83060
 Total,44166,41123,85289
AREA # 140601,Kyangin,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9123,10372,19495
 Rural,36500,40088,76588
 Total,45623,50460,96083
AREA # 140602,Zalun,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,9969,11285,21254
 Rural,69684,77265,146949
 Total,79653,88550,168203
AREA # 140603,Myanaung,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,10120,12430,22550
 Rural,92183,103848,196031
 Total,102303,116278,218581
AREA # 140604,Laymyethna,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,1338,1519,2857
 Rural,48323,51844,100167
 Total,49661,53363,103024
AREA # 140605,Hinthada,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,38868,44894,83762
 Rural,120826,133847,254673
 Total,159694,178741,338435
AREA # 140606,Ingapu,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,6167,7153,13320
 Rural,96210,104854,201064
 Total,102377,112007,214384
AREA # 150101,Tatkon,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,19609,22074,41683
 Rural,84106,91304,175410
 Total,103715,113378,217093
AREA # 150102,Zeyarthiri,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,18864,16242,35106
 Rural,36778,39409,76187
 Total,55642,55651,111293
AREA # 150103,Ottarathiri,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,12459,11496,23955
 Rural,28850,28815,57665
 Total,41309,40311,81620
AREA # 150104,Pobbathiri,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,22018,22419,44437
 Rural,35308,36746,72054
 Total,57326,59165,116491
AREA # 150201,Pyinmana,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,34214,37796,72010
 Rural,56517,59038,115555
 Total,90731,96834,187565
AREA # 150202,Lewe,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,14498,15710,30208
 Rural,123637,130548,254185
 Total,138135,146258,284393
AREA # 150203,Zabuthiri,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,48415,56181,104596
 Rural,2832,3031,5863
 Total,51247,59212,110459
AREA # 150204,Dekkhinathiri,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,12950,10244,23194
 Rural,14100,14034,28134
 Total,27050,24278,51328
SUMMARY,*,*,*
Urban/Rural,Sex,*,*
*,Male,Female,Total
 Urban,7114224,7763719,14877943
 Rural,17114490,18287467,35401957
 Total,24228714,26051186,50279900
