Urban_Rural,Television_Yes,Television_No,Television_Total
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,9319,4508,13827
 Rural,14599,26505,41104
 Total,23918,31013,54931
NotApp :,386,*,*
AREA # 070205,Oatwin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2162,1047,3209
 Rural,13358,20303,33661
 Total,15520,21350,36870
NotApp :,276,*,*
AREA # 070206,Htantapin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1317,1059,2376
 Rural,9311,15094,24405
 Total,10628,16153,26781
NotApp :,169,*,*
AREA # 070301,Pyay,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,23348,5467,28815
 Rural,16884,12858,29742
 Total,40232,18325,58557
NotApp :,1014,*,*
AREA # 070302,Paukkhaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2618,988,3606
 Rural,11713,17028,28741
 Total,14331,18016,32347
NotApp :,302,*,*
AREA # 070303,Padaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3311,1157,4468
 Rural,18941,15483,34424
 Total,22252,16640,38892
NotApp :,412,*,*
AREA # 070304,Paunde,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4185,2296,6481
 Rural,11158,19061,30219
 Total,15343,21357,36700
NotApp :,296,*,*
AREA # 070305,Thegon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2825,1441,4266
 Rural,14719,16965,31684
 Total,17544,18406,35950
NotApp :,304,*,*
AREA # 070306,Shwedaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3519,999,4518
 Rural,13872,15174,29046
 Total,17391,16173,33564
NotApp :,368,*,*
AREA # 070401,Tharyarwaddy,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,5125,3039,8164
 Rural,8502,19960,28462
 Total,13627,22999,36626
NotApp :,285,*,*
AREA # 070402,Letpadan,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3666,2069,5735
 Rural,11898,25851,37749
 Total,15564,27920,43484
NotApp :,336,*,*
AREA # 070403,Minhla,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1898,804,2702
 Rural,9518,18674,28192
 Total,11416,19478,30894
NotApp :,231,*,*
AREA # 070404,Okpo,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1835,965,2800
 Rural,10109,18985,29094
 Total,11944,19950,31894
NotApp :,283,*,*
AREA # 070405,Zigon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2730,1237,3967
 Rural,6444,7799,14243
 Total,9174,9036,18210
NotApp :,160,*,*
AREA # 070406,Nattalin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3193,1449,4642
 Rural,17321,23806,41127
 Total,20514,25255,45769
NotApp :,317,*,*
AREA # 070407,Monyo,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1232,1148,2380
 Rural,9666,21241,30907
 Total,10898,22389,33287
NotApp :,232,*,*
AREA # 070408,Gyobingauk,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3866,1718,5584
 Rural,9726,15276,25002
 Total,13592,16994,30586
NotApp :,233,*,*
AREA # 080101,Magway,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,16357,3513,19870
 Rural,16255,32552,48807
 Total,32612,36065,68677
NotApp :,1053,*,*
AREA # 080102,Yenangyoung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,7655,3021,10676
 Rural,5163,16661,21824
 Total,12818,19682,32500
NotApp :,490,*,*
AREA # 080103,Chauk,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,7905,2496,10401
 Rural,10006,24211,34217
 Total,17911,26707,44618
NotApp :,539,*,*
AREA # 080104,Taungdwingyi,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,7417,2638,10055
 Rural,17739,32469,50208
 Total,25156,35107,60263
NotApp :,426,*,*
AREA # 080105,Myothit,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1121,625,1746
 Rural,8287,26915,35202
 Total,9408,27540,36948
NotApp :,339,*,*
AREA # 080106,Natmauk,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2145,1029,3174
 Rural,11012,34240,45252
 Total,13157,35269,48426
NotApp :,396,*,*
AREA # 080201,Minbu,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,6912,2278,9190
 Rural,13121,21506,34627
 Total,20033,23784,43817
NotApp :,551,*,*
AREA # 080202,Pwint Phyu,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1136,318,1454
 Rural,15662,22648,38310
 Total,16798,22966,39764
NotApp :,475,*,*
AREA # 080203,Ngape,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,758,221,979
 Rural,4293,7185,11478
 Total,5051,7406,12457
NotApp :,159,*,*
AREA # 080204,Salin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2134,652,2786
 Rural,15353,37466,52819
 Total,17487,38118,55605
NotApp :,631,*,*
AREA # 080205,Saytottara,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1086,439,1525
 Rural,1521,7734,9255
 Total,2607,8173,10780
NotApp :,279,*,*
AREA # 080301,Thayet,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3617,946,4563
 Rural,8249,13160,21409
 Total,11866,14106,25972
NotApp :,302,*,*
AREA # 080302,Minhla,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2427,554,2981
 Rural,10505,18136,28641
 Total,12932,18690,31622
NotApp :,346,*,*
AREA # 080303,Mindon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,773,497,1270
 Rural,4780,10759,15539
 Total,5553,11256,16809
NotApp :,207,*,*
AREA # 080304,Kamma,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,796,498,1294
 Rural,6988,10861,17849
 Total,7784,11359,19143
NotApp :,208,*,*
AREA # 080305,Aunglan,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,8635,2990,11625
 Rural,18513,27471,45984
 Total,27148,30461,57609
NotApp :,479,*,*
AREA # 080306,Sinpaungwe`,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,877,404,1281
 Rural,8756,18647,27403
 Total,9633,19051,28684
NotApp :,290,*,*
AREA # 080401,Pakokku,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,13739,5330,19069
 Rural,18678,28593,47271
 Total,32417,33923,66340
NotApp :,723,*,*
AREA # 080402,Yesagyo,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3319,1580,4899
 Rural,13045,29388,42433
 Total,16364,30968,47332
NotApp :,485,*,*
AREA # 080403,Myaing,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1335,466,1801
 Rural,14077,37763,51840
 Total,15412,38229,53641
NotApp :,502,*,*
AREA # 080404,Pauk,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1250,451,1701
 Rural,7606,29658,37264
 Total,8856,30109,38965
NotApp :,326,*,*
AREA # 080405,Seikphyu,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1288,841,2129
 Rural,3810,17488,21298
 Total,5098,18329,23427
NotApp :,208,*,*
AREA # 080501,Gangaw,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2127,1131,3258
 Rural,10874,15780,26654
 Total,13001,16911,29912
NotApp :,303,*,*
AREA # 080502,Htilin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,597,526,1123
 Rural,2697,6712,9409
 Total,3294,7238,10532
NotApp :,182,*,*
AREA # 080503,Saw,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,669,592,1261
 Rural,2183,4881,7064
 Total,2852,5473,8325
NotApp :,212,*,*
AREA # 080551,Kyaukhtu(ST),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,699,441,1140
 Rural,2309,4160,6469
 Total,3008,4601,7609
NotApp :,103,*,*
AREA # 090101,Aungmyetharzan,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,41866,7865,49731
 Total,41866,7865,49731
NotApp :,971,*,*
AREA # 090102,Chanayeharzan,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,28955,4326,33281
 Total,28955,4326,33281
NotApp :,1883,*,*
AREA # 090103,Mahaaungmye,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,35273,6654,41927
 Total,35273,6654,41927
NotApp :,754,*,*
AREA # 090104,Chanmyatharzi,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,43352,9695,53047
 Total,43352,9695,53047
NotApp :,901,*,*
AREA # 090105,Pyigyidagun,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,31987,11888,43875
 Total,31987,11888,43875
NotApp :,1032,*,*
AREA # 090106,Amarapura,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,12731,3899,16630
 Rural,18895,14101,32996
 Total,31626,18000,49626
NotApp :,572,*,*
AREA # 090107,Patheingyi,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2346,356,2702
 Rural,30373,19915,50288
 Total,32719,20271,52990
NotApp :,902,*,*
AREA # 090201,Pyin Oo Lwin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,25398,6543,31941
 Rural,13111,8330,21441
 Total,38509,14873,53382
NotApp :,962,*,*
AREA # 090202,Madaya,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3994,1317,5311
 Rural,25169,28165,53334
 Total,29163,29482,58645
NotApp :,508,*,*
AREA # 090203,Sinku,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1193,539,1732
 Rural,13273,19528,32801
 Total,14466,20067,34533
NotApp :,281,*,*
AREA # 090204,Mogok,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,11906,4780,16686
 Rural,10787,7774,18561
 Total,22693,12554,35247
NotApp :,586,*,*
AREA # 090205,Thabeikkyin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,642,546,1188
 Rural,10338,14223,24561
 Total,10980,14769,25749
NotApp :,297,*,*
AREA # 090251,Tagaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,784,1009,1793
 Rural,1776,3823,5599
 Total,2560,4832,7392
NotApp :,96,*,*
AREA # 090301,Kyaukse,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,6916,1575,8491
 Rural,25432,23842,49274
 Total,32348,25417,57765
NotApp :,526,*,*
AREA # 090302,Singaing,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1455,325,1780
 Rural,18221,13578,31799
 Total,19676,13903,33579
NotApp :,464,*,*
AREA # 090303,Myitthar,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3253,1093,4346
 Rural,20351,21320,41671
 Total,23604,22413,46017
NotApp :,399,*,*
AREA # 090304,Tada U,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2129,523,2652
 Rural,13600,16375,29975
 Total,15729,16898,32627
NotApp :,340,*,*
AREA # 090401,Myingyan,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,12917,5980,18897
 Rural,14455,28988,43443
 Total,27372,34968,62340
NotApp :,622,*,*
AREA # 090402,Taungtha,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2451,1412,3863
 Rural,12077,33912,45989
 Total,14528,35324,49852
NotApp :,425,*,*
AREA # 090403,Natogyi,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2080,762,2842
 Rural,13945,24178,38123
 Total,16025,24940,40965
NotApp :,349,*,*
AREA # 090404,Kyaukpadaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,7341,1672,9013
 Rural,16582,36366,52948
 Total,23923,38038,61961
NotApp :,497,*,*
AREA # 090405,Ngazun,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1096,561,1657
 Rural,8341,17840,26181
 Total,9437,18401,27838
NotApp :,295,*,*
AREA # 090501,Nyaung U,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,7149,2366,9515
 Rural,9818,25329,35147
 Total,16967,27695,44662
NotApp :,603,*,*
AREA # 090551,Ngat,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,603,836,1439
 Rural,1941,6431,8372
 Total,2544,7267,9811
NotApp :,69,*,*
AREA # 090601,Yame`thin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3865,1462,5327
 Rural,15359,36573,51932
 Total,19224,38035,57259
NotApp :,559,*,*
AREA # 090602,Pyawbwe,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4716,2158,6874
 Rural,16273,35716,51989
 Total,20989,37874,58863
NotApp :,497,*,*
AREA # 090701,Meiktila,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,18259,5704,23963
 Rural,18914,25562,44476
 Total,37173,31266,68439
NotApp :,998,*,*
AREA # 090702,MahlYaing,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2290,821,3111
 Rural,11709,18507,30216
 Total,13999,19328,33327
NotApp :,382,*,*
AREA # 090703,Thazi,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3579,1141,4720
 Rural,15301,24871,40172
 Total,18880,26012,44892
NotApp :,484,*,*
AREA # 090704,Wundwin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,5027,2273,7300
 Rural,16315,29954,46269
 Total,21342,32227,53569
NotApp :,474,*,*
AREA # 100101,Mawlamyine,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,39744,9990,49734
 Rural,5398,2325,7723
 Total,45142,12315,57457
NotApp :,954,*,*
AREA # 100102,Kyaikemaraw,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1574,602,2176
 Rural,20258,16454,36712
 Total,21832,17056,38888
NotApp :,478,*,*
AREA # 100103,Chaungzon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1133,611,1744
 Rural,16038,10162,26200
 Total,17171,10773,27944
NotApp :,292,*,*
AREA # 100104,Thanbyuzayat,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,8711,3004,11715
 Rural,15251,9268,24519
 Total,23962,12272,36234
NotApp :,470,*,*
AREA # 100105,Mudon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,8679,2113,10792
 Rural,20228,8292,28520
 Total,28907,10405,39312
NotApp :,541,*,*
AREA # 100106,Ye,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4358,1755,6113
 Rural,13528,10350,23878
 Total,17886,12105,29991
NotApp :,508,*,*
AREA # 100151,Lamine,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2243,724,2967
 Rural,9992,5680,15672
 Total,12235,6404,18639
NotApp :,149,*,*
AREA # 100152,Khawzar,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,545,233,778
 Rural,2243,1797,4040
 Total,2788,2030,4818
NotApp :,70,*,*
AREA # 100201,Thaton,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,7873,2833,10706
 Rural,17629,19949,37578
 Total,25502,22782,48284
NotApp :,603,*,*
AREA # 100202,Paung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4209,1693,5902
 Rural,22749,15075,37824
 Total,26958,16768,43726
NotApp :,460,*,*
AREA # 100203,Kyaikto,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,5324,2192,7516
 Rural,13808,16764,30572
 Total,19132,18956,38088
NotApp :,848,*,*
AREA # 100204,Bilin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2829,1215,4044
 Rural,14124,21063,35187
 Total,16953,22278,39231
NotApp :,544,*,*
AREA # 110101,Sittway,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,10613,8293,18906
 Rural,2909,7221,10130
 Total,13522,15514,29036
NotApp :,377,*,*
AREA # 110102,Ponnagyun,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1161,1305,2466
 Rural,2512,20357,22869
 Total,3673,21662,25335
NotApp :,246,*,*
AREA # 110103,Pauktaw,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1028,1442,2470
 Rural,3052,25022,28074
 Total,4080,26464,30544
NotApp :,349,*,*
AREA # 110104,Yethedaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,725,785,1510
 Rural,3275,19556,22831
 Total,4000,20341,24341
NotApp :,255,*,*
AREA # 110201,Myauk U,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2394,4880,7274
 Rural,4864,29387,34251
 Total,7258,34267,41525
NotApp :,517,*,*
AREA # 110202,Kyauktaw,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2045,1794,3839
 Rural,4768,27888,32656
 Total,6813,29682,36495
NotApp :,327,*,*
AREA # 110203,Minbya,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1854,2761,4615
 Rural,3855,28158,32013
 Total,5709,30919,36628
NotApp :,359,*,*
AREA # 110204,Myebon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,841,1777,2618
 Rural,4455,24266,28721
 Total,5296,26043,31339
NotApp :,244,*,*
AREA # 110301,Maungtaw,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1210,1104,2314
 Rural,970,4106,5076
 Total,2180,5210,7390
NotApp :,142,*,*
AREA # 110302,Buthidaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1036,1026,2062
 Rural,1619,7583,9202
 Total,2655,8609,11264
NotApp :,178,*,*
AREA # 110351,Taungpyoletwe(ST),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,38,120,158
 Rural,28,320,348
 Total,66,440,506
NotApp :,17,*,*
AREA # 110401,Kyaukpyu,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3128,1126,4254
 Rural,6173,26837,33010
 Total,9301,27963,37264
NotApp :,491,*,*
AREA # 110402,Mannaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,725,581,1306
 Rural,2143,11286,13429
 Total,2868,11867,14735
NotApp :,186,*,*
AREA # 110403,Yanbye,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,826,1422,2248
 Rural,879,19291,20170
 Total,1705,20713,22418
NotApp :,325,*,*
AREA # 110404,An,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,914,964,1878
 Rural,4830,20651,25481
 Total,5744,21615,27359
NotApp :,324,*,*
AREA # 110501,Thandwe,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2279,1071,3350
 Rural,9467,18258,27725
 Total,11746,19329,31075
NotApp :,580,*,*
AREA # 110502,Toungup,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,3707,2471,6178
 Rural,3893,15168,19061
 Total,7600,17639,25239
NotApp :,343,*,*
AREA # 110503,Gwa,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1353,1135,2488
 Rural,2174,6583,8757
 Total,3527,7718,11245
NotApp :,115,*,*
AREA # 110551,Maei(ST),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,468,747,1215
 Rural,1676,7062,8738
 Total,2144,7809,9953
NotApp :,96,*,*
AREA # 110552,Kyeintali(ST),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,621,854,1475
 Rural,1138,3468,4606
 Total,1759,4322,6081
NotApp :,76,*,*
AREA # 120101,Insein,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,51707,9969,61676
 Total,51707,9969,61676
NotApp :,993,*,*
AREA # 120102,Mingaladon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,35780,5861,41641
 Rural,18336,6326,24662
 Total,54116,12187,66303
NotApp :,1749,*,*
AREA # 120103,Hmawby,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4627,1315,5942
 Rural,31452,19075,50527
 Total,36079,20390,56469
NotApp :,902,*,*
AREA # 120104,Hlegu,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,6909,1840,8749
 Rural,27970,21304,49274
 Total,34879,23144,58023
NotApp :,1175,*,*
AREA # 120105,Taikkyi,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,12724,7635,20359
 Rural,16758,29882,46640
 Total,29482,37517,66999
NotApp :,614,*,*
AREA # 120106,Htantabin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1311,745,2056
 Rural,16171,15984,32155
 Total,17482,16729,34211
NotApp :,229,*,*
AREA # 120107,Shwepyitha,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,41246,17265,58511
 Rural,9532,5732,15264
 Total,50778,22997,73775
NotApp :,834,*,*
AREA # 120108,Hlinethaya,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,70557,33250,103807
 Rural,22665,22239,44904
 Total,93222,55489,148711
NotApp :,1246,*,*
AREA # 120201,Thingangyun,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,38352,4968,43320
 Total,38352,4968,43320
NotApp :,265,*,*
AREA # 120202,Yankin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,13631,1006,14637
 Total,13631,1006,14637
NotApp :,149,*,*
AREA # 120203,South Okkalapa,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,29667,3058,32725
 Total,29667,3058,32725
NotApp :,418,*,*
AREA # 120204,North Okkalapa,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,54959,9797,64756
 Total,54959,9797,64756
NotApp :,946,*,*
AREA # 120205,Thakayta,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,39125,6331,45456
 Total,39125,6331,45456
NotApp :,451,*,*
AREA # 120206,Dawbon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,12512,1897,14409
 Total,12512,1897,14409
NotApp :,154,*,*
AREA # 120207,Tamway,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,33464,1896,35360
 Total,33464,1896,35360
NotApp :,633,*,*
AREA # 120208,Pazuntaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,9714,592,10306
 Total,9714,592,10306
NotApp :,215,*,*
AREA # 120209,Botahtaung,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,7920,477,8397
 Total,7920,477,8397
NotApp :,295,*,*
AREA # 120210,Dagon Myothit(South),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,60271,16713,76984
 Total,60271,16713,76984
NotApp :,751,*,*
AREA # 120211,Dagon Myothit(North),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,37961,4743,42704
 Total,37961,4743,42704
NotApp :,126,*,*
AREA # 120212,Dagon Myothit(East),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,24285,7610,31895
 Rural,1007,1011,2018
 Total,25292,8621,33913
NotApp :,814,*,*
AREA # 120213,Dagon Myothit(Seik),*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,21509,12663,34172
 Rural,2077,1656,3733
 Total,23586,14319,37905
NotApp :,383,*,*
AREA # 120214,Mingala Taungnyunt,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,23847,2071,25918
 Total,23847,2071,25918
NotApp :,325,*,*
AREA # 120301,Thanlyin,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,14766,3943,18709
 Rural,25712,17176,42888
 Total,40478,21119,61597
NotApp :,594,*,*
AREA # 120302,Kyauktan,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,6473,3391,9864
 Rural,10970,12142,23112
 Total,17443,15533,32976
NotApp :,324,*,*
AREA # 120303,Thongwa,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4361,2395,6756
 Rural,15879,17452,33331
 Total,20240,19847,40087
NotApp :,287,*,*
AREA # 120304,Khayan,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,4917,2961,7878
 Rural,13529,17907,31436
 Total,18446,20868,39314
NotApp :,203,*,*
AREA # 120305,Twantay,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,5950,3247,9197
 Rural,21164,21241,42405
 Total,27114,24488,51602
NotApp :,365,*,*
AREA # 120306,Kawhmu,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,1307,924,2231
 Rural,11626,15935,27561
 Total,12933,16859,29792
NotApp :,220,*,*
AREA # 120307,Kungyangon,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,2623,1335,3958
 Rural,8298,16096,24394
 Total,10921,17431,28352
NotApp :,207,*,*
AREA # 120308,Dala,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,16872,8459,25331
 Rural,6578,6003,12581
 Total,23450,14462,37912
NotApp :,211,*,*
AREA # 120309,Seikkyi/Khanaungto,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,5280,2449,7729
 Total,5280,2449,7729
NotApp :,39,*,*
AREA # 120310,Cocogyun,*,*
Urban/Rural,Television,*,*
*,Yes,No,Total
 Urban,203,148,351
 Total,203,148,351
NotApp :,8,*,*
AREA # 120351,Tada(ST),*,*
