Urban_Rural,4-Wheel_tractor_Yes,4-Wheel_tractor_No,4-Wheel_tractor_Total,Township,MIMU_code
 Urban,680,38988,39668,Myitkyina,MMR001001
 Rural,286,10629,10915,Myitkyina,MMR001001
 Total,966,49617,50583,Myitkyina,MMR001001
 Urban,119,3701,3820,Waingmaw,MMR001002
 Rural,480,15480,15960,Waingmaw,MMR001002
 Total,599,19181,19780,Waingmaw,MMR001002
 Urban,1,77,78,Ingyanyan,MMR001003
 Rural,-,207,207,Ingyanyan,MMR001003
 Total,1,284,285,Ingyanyan,MMR001003
 Urban,92,3602,3694,Tanaing,MMR001004
 Rural,18,2686,2704,Tanaing,MMR001004
 Total,110,6288,6398,Tanaing,MMR001004
 Urban,10,319,329,Chiphwe,MMR001005
 Rural,27,1575,1602,Chiphwe,MMR001005
 Total,37,1894,1931,Chiphwe,MMR001005
 Urban,2,64,66,Hsotlaw,MMR001006
 Rural,5,1002,1007,Hsotlaw,MMR001006
 Total,7,1066,1073,Hsotlaw,MMR001006
 Urban,39,665,704,Hsinbo(ST),MMR001001
 Rural,52,1252,1304,Hsinbo(ST),MMR001001
 Total,91,1917,2008,Hsinbo(ST),MMR001001
 Urban,6,504,510,Hsadone(ST),MMR001002
 Rural,10,1090,1100,Hsadone(ST),MMR001002
 Total,16,1594,1610,Hsadone(ST),MMR001002
 Urban,-,174,174,Kanpaikti(ST),MMR001002
 Rural,17,1279,1296,Kanpaikti(ST),MMR001002
 Total,17,1453,1470,Kanpaikti(ST),MMR001002
 Urban,17,1008,1025,Shinbwayyan(ST),MMR001004
 Rural,5,1100,1105,Shinbwayyan(ST),MMR001004
 Total,22,2108,2130,Shinbwayyan(ST),MMR001004
 Urban,3,193,196,Panwa(ST),MMR001005
 Rural,13,1166,1179,Panwa(ST),MMR001005
 Total,16,1359,1375,Panwa(ST),MMR001005
 Urban,244,6109,6353,Mohnyin,MMR001007
 Rural,2148,21689,23837,Mohnyin,MMR001007
 Total,2392,27798,30190,Mohnyin,MMR001007
 Urban,189,4259,4448,Mogaung,MMR001008
 Rural,1265,19185,20450,Mogaung,MMR001008
 Total,1454,23444,24898,Mogaung,MMR001008
 Urban,57,6799,6856,Phakant,MMR001009
 Rural,406,25872,26278,Phakant,MMR001009
 Total,463,32671,33134,Phakant,MMR001009
 Urban,129,4412,4541,Hopin(ST),MMR001007
 Rural,276,4615,4891,Hopin(ST),MMR001007
 Total,405,9027,9432,Hopin(ST),MMR001007
 Urban,45,985,1030,Kamine(ST),MMR001009
 Rural,52,2416,2468,Kamine(ST),MMR001009
 Total,97,3401,3498,Kamine(ST),MMR001009
 Urban,560,8955,9515,Bhamo,MMR001010
 Rural,2070,12576,14646,Bhamo,MMR001010
 Total,2630,21531,24161,Bhamo,MMR001010
 Urban,213,3189,3402,Shwegu,MMR001011
 Rural,469,11957,12426,Shwegu,MMR001011
 Total,682,15146,15828,Shwegu,MMR001011
 Urban,125,1965,2090,Momauk,MMR001012
 Rural,1676,4868,6544,Momauk,MMR001012
 Total,1801,6833,8634,Momauk,MMR001012
 Urban,126,1492,1618,Mansi,MMR001013
 Rural,1878,7058,8936,Mansi,MMR001013
 Total,2004,8550,10554,Mansi,MMR001013
 Urban,1,360,361,Myohla(ST),MMR001011
 Rural,2,430,432,Myohla(ST),MMR001011
 Total,3,790,793,Myohla(ST),MMR001011
 Urban,61,1164,1225,Lwe`ge`(ST),MMR001012
 Rural,47,231,278,Lwe`ge`(ST),MMR001012
 Total,108,1395,1503,Lwe`ge`(ST),MMR001012
 Urban,31,280,311,Dotphoneyan(ST),MMR001012
 Rural,733,1189,1922,Dotphoneyan(ST),MMR001012
 Total,764,1469,2233,Dotphoneyan(ST),MMR001012
 Urban,23,2788,2811,Putao,MMR001014
 Rural,18,7914,7932,Putao,MMR001014
 Total,41,10702,10743,Putao,MMR001014
 Urban,5,167,172,Sumprabum,MMR001015
 Rural,10,297,307,Sumprabum,MMR001015
 Total,15,464,479,Sumprabum,MMR001015
 Urban,2,406,408,Machanbaw,MMR001016
 Rural,4,1307,1311,Machanbaw,MMR001016
 Total,6,1713,1719,Machanbaw,MMR001016
 Urban,-,70,70,Khaunglanphoo,MMR001018
 Rural,11,1630,1641,Khaunglanphoo,MMR001018
 Total,11,1700,1711,Khaunglanphoo,MMR001018
 Urban,-,360,360,Naungmoon,MMR001017
 Rural,1,582,583,Naungmoon,MMR001017
 Total,1,942,943,Naungmoon,MMR001017
 Urban,-,24,24,Pannandin(ST),MMR001017
 Rural,-,245,245,Pannandin(ST),MMR001017
 Total,-,269,269,Pannandin(ST),MMR001017
 Urban,494,9928,10422,Loikaw,MMR002001
 Rural,1964,14109,16073,Loikaw,MMR002001
 Total,2458,24037,26495,Loikaw,MMR002001
 Urban,125,1012,1137,Dimawso,MMR002002
 Rural,1951,12259,14210,Dimawso,MMR002002
 Total,2076,13271,15347,Dimawso,MMR002002
 Urban,57,796,853,Phruso,MMR002003
 Rural,414,4643,5057,Phruso,MMR002003
 Total,471,5439,5910,Phruso,MMR002003
 Urban,12,324,336,Shardaw,MMR002004
 Rural,7,1063,1070,Shardaw,MMR002004
 Total,19,1387,1406,Shardaw,MMR002004
 Urban,25,814,839,Bawlakhe,MMR002005
 Rural,30,720,750,Bawlakhe,MMR002005
 Total,55,1534,1589,Bawlakhe,MMR002005
 Urban,20,574,594,Parsaung,MMR002006
 Rural,28,4111,4139,Parsaung,MMR002006
 Total,48,4685,4733,Parsaung,MMR002006
 Urban,14,181,195,Meisi,MMR002007
 Rural,73,1034,1107,Meisi,MMR002007
 Total,87,1215,1302,Meisi,MMR002007
 Urban,11,281,292,Ywathit(ST),MMR002005
 Rural,4,196,200,Ywathit(ST),MMR002005
 Total,15,477,492,Ywathit(ST),MMR002005
 Urban,198,14570,14768,Hpa-an,MMR003001
 Rural,4133,70296,74429,Hpa-an,MMR003001
 Total,4331,84866,89197,Hpa-an,MMR003001
 Urban,44,2235,2279,Hlaingbwe,MMR003002
 Rural,1409,27898,29307,Hlaingbwe,MMR003002
 Total,1453,30133,31586,Hlaingbwe,MMR003002
 Urban,10,3052,3062,Thandaunggyi,MMR003004
 Rural,3,2744,2747,Thandaunggyi,MMR003004
 Total,13,5796,5809,Thandaunggyi,MMR003004
 Urban,74,733,807,Paingkyon(ST),MMR003002
 Rural,1583,15388,16971,Paingkyon(ST),MMR003002
 Total,1657,16121,17778,Paingkyon(ST),MMR003002
 Urban,3,80,83,Shan Ywathit(ST),MMR003002
 Rural,15,3658,3673,Shan Ywathit(ST),MMR003002
 Total,18,3738,3756,Shan Ywathit(ST),MMR003002
 Urban,5,602,607,Leiktho(ST),MMR003004
 Rural,19,9300,9319,Leiktho(ST),MMR003004
 Total,24,9902,9926,Leiktho(ST),MMR003004
 Urban,-,436,436,Bawgali(ST),MMR003004
 Rural,1,2968,2969,Bawgali(ST),MMR003004
 Total,1,3404,3405,Bawgali(ST),MMR003004
 Urban,7,626,633,Pharpon,MMR003003
 Rural,5,1906,1911,Pharpon,MMR003003
 Total,12,2532,2544,Pharpon,MMR003003
 Urban,19,2730,2749,Kamamaung(ST},MMR003003
 Rural,13,1196,1209,Kamamaung(ST},MMR003003
 Total,32,3926,3958,Kamamaung(ST},MMR003003
 Urban,187,23829,24016,Myawady,MMR003005
 Rural,2133,15109,17242,Myawady,MMR003005
 Total,2320,38938,41258,Myawady,MMR003005
 Urban,23,52,75,Sugali(ST),MMR003005
 Rural,194,792,986,Sugali(ST),MMR003005
 Total,217,844,1061,Sugali(ST),MMR003005
 Urban,62,515,577,Wawlaymyaing(ST),MMR003005
 Rural,375,745,1120,Wawlaymyaing(ST),MMR003005
 Total,437,1260,1697,Wawlaymyaing(ST),MMR003005
 Urban,224,8258,8482,Kawkareik,MMR003006
 Rural,4440,32576,37016,Kawkareik,MMR003006
 Total,4664,40834,45498,Kawkareik,MMR003006
 Urban,16,1801,1817,Kyarinseikkyi,MMR003007
 Rural,672,19551,20223,Kyarinseikkyi,MMR003007
 Total,688,21352,22040,Kyarinseikkyi,MMR003007
 Urban,18,6078,6096,Payarthonezu(ST),MMR003007
 Rural,350,11349,11699,Payarthonezu(ST),MMR003007
 Total,368,17427,17795,Payarthonezu(ST),MMR003007
 Urban,50,630,680,Kyaidon(ST),MMR003007
 Rural,1777,8276,10053,Kyaidon(ST),MMR003007
 Total,1827,8906,10733,Kyaidon(ST),MMR003007
 Urban,24,5197,5221,HaKa,MMR004002
 Rural,17,4679,4696,HaKa,MMR004002
 Total,41,9876,9917,HaKa,MMR004002
 Urban,14,1493,1507,Thantlang,MMR004003
 Rural,46,8229,8275,Thantlang,MMR004003
 Total,60,9722,9782,Thantlang,MMR004003
 Urban,10,1992,2002,Falam,MMR004001
 Rural,11,6415,6426,Falam,MMR004001
 Total,21,8407,8428,Falam,MMR004001
 Urban,12,2238,2250,Tedim,MMR004004
 Rural,62,12371,12433,Tedim,MMR004004
 Total,74,14609,14683,Tedim,MMR004004
 Urban,2,638,640,Tonzaung,MMR004005
 Rural,3,2768,2771,Tonzaung,MMR004005
 Total,5,3406,3411,Tonzaung,MMR004005
 Urban,3,667,670,Rihkhuadal(ST),MMR004001
 Rural,-,528,528,Rihkhuadal(ST),MMR004001
 Total,3,1195,1198,Rihkhuadal(ST),MMR004001
 Urban,1,214,215,Cikha(ST),MMR004005
 Rural,-,1315,1315,Cikha(ST),MMR004005
 Total,1,1529,1530,Cikha(ST),MMR004005
 Urban,8,2335,2343,Mindat,MMR004006
 Rural,3,6176,6179,Mindat,MMR004006
 Total,11,8511,8522,Mindat,MMR004006
 Urban,11,1659,1670,Matupi,MMR004007
 Rural,9,5957,5966,Matupi,MMR004007
 Total,20,7616,7636,Matupi,MMR004007
 Urban,4,803,807,Kanpalet,MMR004008
 Rural,-,3170,3170,Kanpalet,MMR004008
 Total,4,3973,3977,Kanpalet,MMR004008
 Urban,-,1350,1350,Paletwat,MMR004009
 Rural,15,11928,11943,Paletwat,MMR004009
 Total,15,13278,13293,Paletwat,MMR004009
 Urban,-,462,462,Reazu(ST),MMR004007
 Rural,9,2050,2059,Reazu(ST),MMR004007
 Total,9,2512,2521,Reazu(ST),MMR004007
 Urban,-,633,633,Sami(ST),MMR004009
 Rural,2,5588,5590,Sami(ST),MMR004009
 Total,2,6221,6223,Sami(ST),MMR004009
 Urban,182,16314,16496,Sagaing,MMR005001
 Rural,619,48028,48647,Sagaing,MMR005001
 Total,801,64342,65143,Sagaing,MMR005001
 Urban,90,3541,3631,Myinmu,MMR005002
 Rural,368,21305,21673,Myinmu,MMR005002
 Total,458,24846,25304,Myinmu,MMR005002
 Urban,28,1925,1953,Myaung,MMR005003
 Rural,296,22013,22309,Myaung,MMR005003
 Total,324,23938,24262,Myaung,MMR005003
 Urban,365,13166,13531,Shwebo,MMR005004
 Rural,1824,34892,36716,Shwebo,MMR005004
 Total,2189,48058,50247,Shwebo,MMR005004
 Urban,60,2231,2291,Khin U,MMR005005
 Rural,495,29838,30333,Khin U,MMR005005
 Total,555,32069,32624,Khin U,MMR005005
 Urban,71,2235,2306,Wetlet,MMR005006
 Rural,738,43668,44406,Wetlet,MMR005006
 Total,809,45903,46712,Wetlet,MMR005006
 Urban,71,5112,5183,Kambalu,MMR005007
 Rural,483,55660,56143,Kambalu,MMR005007
 Total,554,60772,61326,Kambalu,MMR005007
 Urban,35,2464,2499,Kyunhlau,MMR005008
 Rural,126,18238,18364,Kyunhlau,MMR005008
 Total,161,20702,20863,Kyunhlau,MMR005008
 Urban,105,3860,3965,Ye U,MMR005009
 Rural,247,22161,22408,Ye U,MMR005009
 Total,352,26021,26373,Ye U,MMR005009
 Urban,20,935,955,Depayin,MMR005010
 Rural,346,29044,29390,Depayin,MMR005010
 Total,366,29979,30345,Depayin,MMR005010
 Urban,71,2901,2972,Tasei,MMR005011
 Rural,299,32666,32965,Tasei,MMR005011
 Total,370,35567,35937,Tasei,MMR005011
 Urban,48,2258,2306,Kyaukmyaung(ST),MMR005004
 Rural,36,4708,4744,Kyaukmyaung(ST),MMR005004
 Total,84,6966,7050,Kyaukmyaung(ST),MMR005004
 Urban,1022,39384,40406,Monywa,MMR005012
 Rural,599,34957,35556,Monywa,MMR005012
 Total,1621,74341,75962,Monywa,MMR005012
 Urban,7,1186,1193,Butalin,MMR005013
 Rural,231,27192,27423,Butalin,MMR005013
 Total,238,28378,28616,Butalin,MMR005013
 Urban,44,2111,2155,Ayartaw,MMR005014
 Rural,418,33018,33436,Ayartaw,MMR005014
 Total,462,35129,35591,Ayartaw,MMR005014
 Urban,111,4970,5081,Chaung Oo,MMR005015
 Rural,660,17635,18295,Chaung Oo,MMR005015
 Total,771,22605,23376,Chaung Oo,MMR005015
 Urban,154,5109,5263,Katha,MMR005020
 Rural,769,25929,26698,Katha,MMR005020
 Total,923,31038,31961,Katha,MMR005020
 Urban,63,1779,1842,Indaw,MMR005021
 Rural,511,20877,21388,Indaw,MMR005021
 Total,574,22656,23230,Indaw,MMR005021
 Urban,88,2982,3070,Tigyaing,MMR005022
 Rural,556,22763,23319,Tigyaing,MMR005022
 Total,644,25745,26389,Tigyaing,MMR005022
 Urban,26,1186,1212,Banmauk,MMR005023
 Rural,194,17462,17656,Banmauk,MMR005023
 Total,220,18648,18868,Banmauk,MMR005023
 Urban,144,4425,4569,Kawlin,MMR005024
 Rural,705,26129,26834,Kawlin,MMR005024
 Total,849,30554,31403,Kawlin,MMR005024
 Urban,73,2517,2590,Wuntho,MMR005025
 Rural,195,11420,11615,Wuntho,MMR005025
 Total,268,13937,14205,Wuntho,MMR005025
 Urban,48,1421,1469,Pinlebu,MMR005026
 Rural,333,20098,20431,Pinlebu,MMR005026
 Total,381,21519,21900,Pinlebu,MMR005026
 Urban,430,25291,25721,Kalay,MMR014005
 Rural,588,46460,47048,Kalay,MMR014005
 Total,1018,71751,72769,Kalay,MMR014005
 Urban,35,1918,1953,Kalewa,MMR005028
 Rural,33,9749,9782,Kalewa,MMR005028
 Total,68,11667,11735,Kalewa,MMR005028
 Urban,19,817,836,Mingin,MMR005029
 Rural,83,21139,21222,Mingin,MMR005029
 Total,102,21956,22058,Mingin,MMR005029
 Urban,110,8879,8989,Tamu,MMR005030
 Rural,28,2969,2997,Tamu,MMR005030
 Total,138,11848,11986,Tamu,MMR005030
 Urban,7,301,308,Myothit(ST),MMR005030
 Rural,35,2754,2789,Myothit(ST),MMR005030
 Total,42,3055,3097,Myothit(ST),MMR005030
 Urban,40,2798,2838,Khampat(ST),MMR005030
 Rural,54,4616,4670,Khampat(ST),MMR005030
 Total,94,7414,7508,Khampat(ST),MMR005030
 Urban,15,1809,1824,Mawlaik,MMR005031
 Rural,67,8454,8521,Mawlaik,MMR005031
 Total,82,10263,10345,Mawlaik,MMR005031
 Urban,89,1853,1942,Phaungpyin,MMR005032
 Rural,1092,17212,18304,Phaungpyin,MMR005032
 Total,1181,19065,20246,Phaungpyin,MMR005032
 Urban,22,2161,2183,Hkamti,MMR005033
 Rural,22,5156,5178,Hkamti,MMR005033
 Total,44,7317,7361,Hkamti,MMR005033
 Urban,121,3454,3575,Homalin,MMR005034
 Rural,1581,30587,32168,Homalin,MMR005034
 Total,1702,34041,35743,Homalin,MMR005034
 Urban,4,249,253,Leshi,MMR005035
 Rural,-,1403,1403,Leshi,MMR005035
 Total,4,1652,1656,Leshi,MMR005035
 Urban,5,533,538,Lahe,MMR005036
 Rural,1,6438,6439,Lahe,MMR005036
 Total,6,6971,6977,Lahe,MMR005036
 Urban,6,369,375,Nanyun,MMR005037
 Rural,2,1191,1193,Nanyun,MMR005037
 Total,8,1560,1568,Nanyun,MMR005037
 Urban,1,209,210,Mobaingluk(ST),MMR005035
 Rural,-,100,100,Mobaingluk(ST),MMR005035
 Total,1,309,310,Mobaingluk(ST),MMR005035
 Urban,1,285,286,Sonemara(ST),MMR005035
 Rural,-,908,908,Sonemara(ST),MMR005035
 Total,1,1193,1194,Sonemara(ST),MMR005035
 Urban,-,128,128,Htanparkway(ST),MMR005036
 Rural,-,633,633,Htanparkway(ST),MMR005036
 Total,-,761,761,Htanparkway(ST),MMR005036
 Urban,8,330,338,Pansaung(ST),MMR005037
 Rural,-,2011,2011,Pansaung(ST),MMR005037
 Total,8,2341,2349,Pansaung(ST),MMR005037
 Urban,-,169,169,Donhee(ST),MMR005037
 Rural,1,3753,3754,Donhee(ST),MMR005037
 Total,1,3922,3923,Donhee(ST),MMR005037
 Urban,16,1061,1077,Yinmarpin,MMR005016
 Rural,480,27975,28455,Yinmarpin,MMR005016
 Total,496,29036,29532,Yinmarpin,MMR005016
 Urban,5,1217,1222,Salingyi,MMR005018
 Rural,322,24923,25245,Salingyi,MMR005018
 Total,327,26140,26467,Salingyi,MMR005018
 Urban,17,914,931,Palae,MMR005019
 Rural,228,31203,31431,Palae,MMR005019
 Total,245,32117,32362,Palae,MMR005019
 Urban,12,1126,1138,Kani,MMR005017
 Rural,159,27926,28085,Kani,MMR005017
 Total,171,29052,29223,Kani,MMR005017
 Urban,356,15026,15382,Dawei,MMR006001
 Rural,355,9206,9561,Dawei,MMR006001
 Total,711,24232,24943,Dawei,MMR006001
 Urban,46,1194,1240,Lounglon,MMR006002
 Rural,1402,23093,24495,Lounglon,MMR006002
 Total,1448,24287,25735,Lounglon,MMR006002
 Urban,90,2317,2407,Thayetchaung,MMR006003
 Rural,803,19664,20467,Thayetchaung,MMR006003
 Total,893,21981,22874,Thayetchaung,MMR006003
 Urban,41,1036,1077,Yebyu,MMR006004
 Rural,557,20439,20996,Yebyu,MMR006004
 Total,598,21475,22073,Yebyu,MMR006004
 Urban,8,488,496,Myitta(ST),MMR006001
 Rural,29,3665,3694,Myitta(ST),MMR006001
 Total,37,4153,4190,Myitta(ST),MMR006001
 Urban,8,616,624,Kaleinaung(ST),MMR006004
 Rural,22,3631,3653,Kaleinaung(ST),MMR006004
 Total,30,4247,4277,Kaleinaung(ST),MMR006004
 Urban,115,21433,21548,Myeik,MMR006005
 Rural,589,32212,32801,Myeik,MMR006005
 Total,704,53645,54349,Myeik,MMR006005
 Urban,6,1136,1142,Kyunsu,MMR006006
 Rural,152,31694,31846,Kyunsu,MMR006006
 Total,158,32830,32988,Kyunsu,MMR006006
 Urban,124,3447,3571,Palaw,MMR006007
 Rural,510,14444,14954,Palaw,MMR006007
 Total,634,17891,18525,Palaw,MMR006007
 Urban,9,1117,1126,Tanintharyi,MMR006008
 Rural,153,18650,18803,Tanintharyi,MMR006008
 Total,162,19767,19929,Tanintharyi,MMR006008
 Urban,24,1187,1211,Palauk(ST),MMR006007
 Rural,117,5800,5917,Palauk(ST),MMR006007
 Total,141,6987,7128,Palauk(ST),MMR006007
 Urban,40,12540,12580,Kawthoung,MMR006009
 Rural,74,12827,12901,Kawthoung,MMR006009
 Total,114,25367,25481,Kawthoung,MMR006009
 Urban,14,1033,1047,Bokepyin,MMR006010
 Rural,8,7821,7829,Bokepyin,MMR006010
 Total,22,8854,8876,Bokepyin,MMR006010
 Urban,10,2345,2355,Khamaukgyi,MMR006009
 Rural,31,2479,2510,Khamaukgyi,MMR006009
 Total,41,4824,4865,Khamaukgyi,MMR006009
 Urban,3,712,715,Pyigyimandaing,MMR006010
 Rural,8,2381,2389,Pyigyimandaing,MMR006010
 Total,11,3093,3104,Pyigyimandaing,MMR006010
 Urban,4,282,286,Karathuri(ST),MMR006010
 Rural,1,3475,3476,Karathuri(ST),MMR006010
 Total,5,3757,3762,Karathuri(ST),MMR006010
 Urban,408,54484,54892,Bago,MMR007001
 Rural,544,51696,52240,Bago,MMR007001
 Total,952,106180,107132,Bago,MMR007001
 Urban,57,3572,3629,Tanatpin,MMR007002
 Rural,833,28065,28898,Tanatpin,MMR007002
 Total,890,31637,32527,Tanatpin,MMR007002
 Urban,120,4134,4254,Kawa,MMR007003
 Rural,1723,40098,41821,Kawa,MMR007003
 Total,1843,44232,46075,Kawa,MMR007003
 Urban,83,4963,5046,Waw,MMR007004
 Rural,1523,30514,32037,Waw,MMR007004
 Total,1606,35477,37083,Waw,MMR007004
 Urban,359,12703,13062,Nyaunglebin,MMR007005
 Rural,1471,30229,31700,Nyaunglebin,MMR007005
 Total,1830,42932,44762,Nyaunglebin,MMR007005
 Urban,182,6691,6873,Kyauktaga,MMR007006
 Rural,1739,43036,44775,Kyauktaga,MMR007006
 Total,1921,49727,51648,Kyauktaga,MMR007006
 Urban,188,8552,8740,Daik U,MMR007007
 Rural,922,36091,37013,Daik U,MMR007007
 Total,1110,44643,45753,Daik U,MMR007007
 Urban,47,4818,4865,Shwegyin,MMR007008
 Rural,314,16603,16917,Shwegyin,MMR007008
 Total,361,21421,21782,Shwegyin,MMR007008
